,pl,be,uk,ru,bg,sl,cs
0,w Australii,у Аўстраліі,в Австралії,в Австралии,в Австралия,v Avstraliji,v Austrálii
1,w Austrii,у Аўстрыі,в Австрії,в Австрии,в Австрия,v Avstriji,v Rakousku
2,w Azerbejdżanie,у Азербайджане,в Азербайджані,в Азербайджане,в Азербайджан,v Azerbajdžanu,v Ázerbájdžánu
3,w Albanii,у Албаніі,в Албанії,в Албании,в Албания,v Albaniji,v Albánii
4,w Algierii,у Алжыры,в Алжирі,в Алжире,в Алжир,v Alžiriji,v Alžírsku
5,w Angoli,у Анголе,в Анголі,в Анголе,в Ангола,v Angoli,v Angole
6,w Andorze,у Андоры,в Андоррі,в Андорре,в Андора,v Andori,v Andoře
7,w Argentynie,у Аргенціне,в Аргентині,в Аргентине,в Аржентина,v Argentini,v Argentině
8,w Armenii,у Арменіі,у Вірменії,в Армении,в Армения,v Armeniji,v Arménii
9,w Afganistanie,у Афганістане,в Афганістані,в Афганистане,в Афганистан,v Afganistanu,v Afghánistánu
10,na Bahamach,на Багамах,на Багамах,на Багамах,на Бахамите,na Bahamih,na Bahamách
11,w Bangladeszu,ў Бангладэшы,у Бангладеш,в Бангладеше,в Бангладеш,v Bangladešu,v Bangladéši
12,na Barbadosie,ў Барбадосе,у Барбадосі,в Барбадосе,в Барбадос,na Barbadosu,na Barbadosu
13,w Bahrajnie,ў Бахрэйне,у Бахрейні,в Бахрейне,в Бахрейн,v Bahrainu,v Bahrajnu
14,na Białorusi,ў Беларусі,у Білорусі,в Белоруссии,в Беларус,v Belorusiji,v Bělorusku
15,w Belgii,ў Бельгіі,у Бельгії,в Бельгии,в Белгия,v Belgiji,v Belgii
16,w Bośni i Hercegowinie,ў Босніі і Герцагавіне,у Боснії та Герцеговині,в Боснии и Герцеговине,в Босна и Херцеговина,v Bosni in Hercegovini,v Bosně a Hercegovině
17,w Botswanie,ў Батсване,у Ботсвані,в Ботсване,в Ботсвана,v Bocvani,v Botswaně
18,w Brazylii,ў Бразіліі,у Бразилії,в Бразилии,в Бразилия,v Braziliji,v Brazílii
19,w Brunei,ў Брунеі,у Брунеї,в Брунее,в Бруней,v Bruneju,v Bruneji
20,W Wielkiej Brytanii,ў Вялікабрытаніі,у Великобританії,в Великобритании,Във Великобритания,V Veliki Britaniji,Ve Velké Británii
21,na Węgrzech,ў Венгрыі,в Угорщині,в Венгрии,в Унгария,na Madžarskem,v Maďarsku
22,w Wenezueli,ў Венесуэле,у Венесуелі,в Венесуэле,във Венецуела,v Venezueli,ve Venezuele
23,w Wietnamie,ў В'етнаме,у В'єтнамі,во Вьетнаме,във Виетнам,v Vietnamu,ve Vietnamu
24,w Gabonie,ў Габоне,у Габоні,в Габоне,в Габон,v Gabonu,v Gabonu
25,na Haiti,ў Гаіці,в Гаїті,в Гаити,в Хаити,na Haitiju,na Haiti
26,w Gwatemali,ў Гватэмале,у Гватемалі,в Гватемале,в Гватемала,v Gvatemali,v Guatemale
27,w Gwinei,ў Гвінеі,у Гвінеї,в Гвинее,в Гвинея,v Gvineji,v Guineji
28,w Hondurasie,ў Гандурасе,у Гондурасі,в Гондурасе,в Хондурас,v Hondurasu,v Hondurasu
29,w Grecji,ў Грэцыі,У Греції,в Греции,в Гърция,v Grčiji,v Řecku
30,W Georgii,ў Грузіі,у Грузії,в Грузии,в Грузия,v Gruziji,v Gruzii
31,w Danii,ў Даніі,у Данії,в Дании,в Дания,na Danskem,v Dánsku
32,w Egipcie,у Егіпце,в Єгипті,в Египте,в Египет,v Egiptu,v Egyptě
33,w Zimbabwe,ў Зімбабвэ,у Зімбабві,в Зимбабве,в Зимбабве,v Zimbabveju,v Zimbabwe
34,w Izraelu,у Ізраілі,в Ізраїлі,в Израиле,в Израел,v Izraelu,v Izraeli
35,w Indiach,у Індыі,в Індії,в Индии,в Индия,v Indiji,v Indii
36,w Indonezji,у Інданезіі,в Індонезії,в Индонезии,в Индонезия,v Indoneziji,v Indonésii
37,W jordanie,у Іарданіі,в Йорданії,в Иордании,в Йордания,v Jordaniji,v Jordánsku
38,w Iraku,у Іраку,в Іраку,в Ираке,в Ирак,v Iraku,v Iráku
39,w Iranie,у Іране,в Ірані,в Иране,в Иран,v Iranu,v Íránu
40,w Irlandii,у Ірландыі,в Ірландії,в Ирландии,в Ирландия,na Irskem,v Irsku
41,w Islandii,у Ісландыі,в Ісландії,в Исландии,в Исландия,na Islandiji,na Islandu
42,w Hiszpanii,у Іспаніі,в Іспанії,в Испании,в Испания,v Španiji,ve Španělsku
43,we Włoszech,у Італіі,в Італії,в Италии,в Италия,v Italiji,v Itálii
44,w Jemenie,у Емене,в Ємені,в Йемене,в Йемен,v Jemnu,v Jemenu
45,W Kazachstanie,ў Казахстане,у Казахстані,в Казахстане,В Казахстан,V Kazahstanu,V Kazachstánu
46,w Kambodży,ў Камбоджы,у Камбоджі,в Камбодже,в Камбоджа,v Kambodži,v Kambodži
47,W Kanadzie,ў Канадзе,в Канаді,в Канаде,В Канада,V Kanadi,V Kanadě
48,w Katarze,ў Катары,у Катарі,в Катаре,в Катар,v Katarju,v Kataru
49,w Kenii,ў Кеніі,у Кенії,в Кении,в Кения,v Keniji,v Keni
50,Na Cyprze,на Кіпры,на Кіпрі,на Кипре,В Кипър,na Cipru,Na Kypru
51,w Kirgistanie,ў Кіргізіі,у Киргизії,в Киргизии,в Киргизстан,v Kirgizistanu,v Kyrgyzstánu
52,w Chinach,ў Кітаі,в Китаї,в Китае,в Китай,na Kitajskem,v Číně
53,w Kolumbii,ў Калумбіі,у Колумбії,в Колумбии,в Колумбия,v Kolumbiji,v Kolumbii
54,w Kongo,ў Конга,у Конго,в Конго,в Конго,v Kongu,v Kongu
55,w Koreańskiej Republice Ludowo-Demokratycznej,ў Карэйскай Народна-Дэмакратычнай Рэспубліцы,у Корейській Народно-Демократичній Республіці,в Корейской Народно-Демократической Республике,в Корейската народнодемократична република,v Demokratični ljudski republiki Koreji,v Korejské lidově demokratické republice
56,w Korei Południowej,ў Паўднёвай Карэі,у Південній Кореї,в Южной Корее,в Южна Корея,v Južni Koreji,v Jižní Koreji
57,na Kubie,на Кубе,на Кубі,на Кубе,в Куба,na Kubi,na Kubě
58,w Kuwejcie,ў Кувейце,у Кувейті,в Кувейте,в Кувейт,v Kuvajtu,v Kuvajtu
59,na Łotwie,ў Латвіі,в Латвії,в Латвии,в Латвия,v Latviji,v Lotyšsku
60,w Libanie,ў Ліване,у Лівані,в Ливане,в Ливан,v Libanonu,v Libanonu
61,w Libii,ў Лівіі,у Лівії,в Ливии,в Либия,v Libiji,v Libyi
62,na Litwie,ў Літве,в Литві,в Литве,в Литва,v Litvi,v Litvě
63,w Liechtensteinie,ў Ліхтэнштэйне,у Ліхтенштейні,в Лихтенштейне,в Лихтенщайн,v Lihtenštajnu,v Lichtenštejnsku
64,w Luksemburgu,ў Люксембургу,у Люксембурзі,в Люксембурге,в Люксембург,v Luksemburgu,v Lucembursku
65,w Mauretanii,ў Маўрытаніі,у Мавританії,в Мавритании,в Мавритания,v Mavretaniji,v Mauritánii
66,na Madagaskarze,на Мадагаскары,на Мадагаскарі,на Мадагаскаре,в Мадагаскар,na Madagaskarju,na Madagaskaru
67,w Malezji,ў Малайзіі,у Малайзії,в Малайзии,в Малайзия,v Maleziji,v Malajsii
68,w Maliu,на Малі,на Малі,на Мали,в Мали,v Maliju,v Mali
69,na Malediwach,на Мальдывах,на Мальдівах,на Мальдивах,на Малдивите,na Maldivih,na Maledivách
70,na Malcie,на Мальце,на Мальті,на Мальте,в Малта,na Malti,na Maltě
71,w Maroku,ў Марока,у Марокко,в Марокко,в Мароко,v Maroku,v Maroku
72,w Meksyku,ў Мексіцы,у Мексиці,в Мексике,в Мексико,v Mehiki,v Mexiku
73,w Mołdawii,ў Малдавіі,в Молдові,в Молдавии,в Молдова,v Moldaviji,v Moldavsku
74,w Monako,ў Манака,у Монако,в Монако,в Монако,v Monaku,v Monaku
75,w Mongolii,ў Манголіі,У Монголії,В Монголии,В Монголия,V Mongoliji,V Mongolsku
76,w Nigerii,ў Нігерыі,у Нігерії,в Нигерии,в Нигерия,v Nigeriji,v Nigérii
77,w Holandii,ў Нідэрландах,у Нідерландах,в Нидерландах,в Холандия,na Nizozemskem,V Nizozemsku
78,w Nowej Zelandii,ў Новай Зеландыі,у Новій Зеландії,в Новой Зеландии,в Нова Зеландия,na Novi Zelandiji,na Novém Zélandu
79,w Norwegii,ў Нарвегіі,в Норвегії,в Норвегии,в Норвегия,na Norveškem,v Norsku
80,w Zjednoczonych Emiratach Arabskich,у Аб'яднаных Арабскіх Эміратах,в Об'єднаних Арабських Еміратах,в Объединенных Арабских Эмиратах,в Обединените арабски емирства,v Združenih arabskih emiratih,ve Spojených arabských emirátech
81,w Omanie,у Амане,в Омані,в Омане,в Оман,v Omanu,v Ománu
82,w Pakistanie,ў Пакістане,у Пакистані,в Пакистане,в Пакистан,v Pakistanu,v Pákistánu
83,w Peru,ў Перу,у Перу,в Перу,в Перу,v Peruju,v Peru
84,w Polsce,ў Польшчы,в Польщі,в Польше,в Полша,na Poljskem,v Polsku
85,w Portugalii,ў Партугаліі,у Португалії,в Португалии,в Португалия,na Portugalskem,v Portugalsku
86,w Rosji,ў Расеі,в Росії,в России,в Русия,v Rusiji,v Rusku
87,w Rumunii,ў Румыніі,у Румунії,в Румынии,в Румъния,v Romuniji,v Rumunsku
88,W Arabii Saudyjskiej,ў Саудаўскай Аравіі,у Саудівській Аравії,в Саудовской Аравии,в Саудитска Арабия,v Savdski Arabiji,v Saúdské Arábii
89,w Macedonii,ў Македоніі,у Македонії,в Македонии,в Македония,v Makedoniji,v Makedonii
90,w Serbii,ў Сербіі,у Сербії,в Сербии,в Сърбия,v Srbiji,v Srbsku
91,w Singapurze,ў Сінгапуры,у Сінгапурі,в Сингапуре,в Сингапур,v Singapurju,v Singapuru
92,w Syrii,ў Сірыі,у Сирії,в Сирии,в Сирия,v Siriji,v Sýrii
93,na Słowacji,ў Славакіі,у Словаччині,в Словакии,в Словакия,na Slovaškem,na Slovensku
94,w Słowenii,ў Славеніі,у Словенії,в Словении,в Словения,v Sloveniji,ve Slovinsku
95,w Stanach Zjednoczonych Ameryki,ў Злучаных Штатах Амерыкі,у Сполучених Штатах Америки,в Соединенных Штатах Америки,в Съединените американски щати,v Združenih državah Amerike,ve Spojených státech amerických
96,w Somalii,ў Самалі,у Сомалі,в Сомали,в Сомалия,v Somaliji,v Somálsku
97,w Sudanie,ў Судане,у Судані,в Судане,в Судан,v Sudanu,v Súdánu
98,W Tadżykistanie,ў Таджыкістане,У Таджикистані,В Таджикистане,В Таджикистан,V Tadžikistanu,V Tádžikistánu
99,w Tajlandii,ў Тайландзе,у Таїланді,в Таиланде,в Тайланд,na Tajskem,v Thajsku
100,w Tanzanii,ў Танзаніі,у Танзанії,в Танзании,в Танзания,v Tanzaniji,v Tanzanii
101,w Tunezji,ў Тунісе,у Тунісі,в Тунисе,в Тунис,v Tuniziji,v Tunisku
102,w Turkmenistanie,ў Туркменіі,у Туркменії,в Туркмении,в Туркменистан,v Turkmenistanu,v Turkmenistánu
103,w Uzbekistanie,ва Узбекістане,в Узбекістані,в Узбекистане,в Узбекистан,v Uzbekistanu,v Uzbekistánu
104,na Ukrainie,ва Украіне,на Україні,на Украине,в Украйна,v Ukrajini,na Ukrajině
105,w Finlandii,ў Фінляндыі,у Фінляндії,в Финляндии,във Финландия,na Finskem,ve Finsku
106,we Francji,ў Францыі,у Франції,во Франции,във Франция,v Franciji,ve Francii
107,w Chorwacji,ў Харватыі,у Хорватії,в Хорватии,в Хърватия,na Hrvaškem,v Chorvatsku
108,w Czarnogórze,ў Чарнагорыі,у Чорногорії,в Черногории,в Черна гора,v Črni gori,v Černé Hoře
109,w Czechach,ў Чэхіі,у Чехії,в Чехии,в Чехия,na Češkem,v České republice
110,w Chile,ў Чылі,у Чилі,в Чили,в Чили,v Čilu,v Chile
111,w Szwajcarii,ў Швейцарыі,в Швейцарії,в Швейцарии,в Швейцария,v Švici,ve Švýcarsku
112,w Szwecji,ў Швецыі,в Швеції,в Швеции,в Швеция,na Švedskem,ve Švédsku
113,na Sri Lance,на Шры-Ланцы,на Шрі-Ланці,на Шри-Ланке,в Шри Ланка,na Šrilanki,na Srí Lance
114,w Ekwadorze,у Эквадоры,в Еквадорі,в Эквадоре,в Еквадор,v Ekvadorju,v Ekvádoru
115,w Gwinei,ў Гвінеі,у Гвінеї,в Гвинее,в Гвинея,v Gvineji,v Guineji
116,w Estonii,у Эстоніі,В Естоніі,в Эстонии,в Естония,v Estoniji,v Estonsku
117,w Sudanie,ў Судане,у Судані,в Судане,в Судан,v Sudanu,v Súdánu
118,w Japonii,у Японіі,в Японії,в Японии,в Япония,na Japonskem,v Japonsku
119,na Jamajce,на Ямайцы,на Ямайці,на Ямайке,в Ямайка,na Jamajki,na Jamajce
120,w Briańsku,ў Бранску,у Брянську,в Брянске,в Брянск,v Brjansku,v Brjansku
121,w Ramenskom,ў Раменскім,у Раменському,в Раменском,в Раменское,v Ramenskoye,v Ramenskoje
122,w Riazaniu,ў Разані,в Рязані,в Рязани,в Рязан,v Ryazanu,v Rjazani
123,w Rybińsku,ў Рыбінску,у Рибінську,в Рыбинске,в Рибинск,v Rybinsku,v Rybinsku
124,w Sybaju,ў Сібаі,у Сібаї,в Сибае,в Сибай,v Sibayu,v Sibay
125,w Michajłowce,ў Міхайлаўцы,У Михайлівці,В Михайловке,в Михайловка,v Mihailovki,v Michajlovce
126,w Kisielewsku,ў Кісялёўску,у Киселівську,в Киселевске,в Киселевск,v Kiselevsku,v Kiselevsku
127,w Nowoczeboksarsku,ў Навачэбаксарску,у Новочебоксарську,в Новочебоксарске,в Новочебоксарск,v Novocheboksarsku,v Novocheboksarsku
128,w Obnińsku,у Обнінску,в Обнінську,в Обнинске,в Обнинск,v Obninsku,v Obninsku
129,w Odincowie,у Адзінцова,в Одинцовому,в Одинцово,в Одинцово,v Odintsovem,v Odintsovu
130,w Aczyńsku,у Ачынску,в Ачинську,в Ачинске,в Ачинск,v Ačinsku,v Achinsku
131,w Muromie,ў Мураме,у Муромі,в Муроме,в Муром,v Muromu,v Muromu
132,w Georgiewsku,ў Георгіеўску,у Георгіївську,в Георгиевске,в Георгиевск,v Georgievsku,v Georgijevsku
133,w Nieftekamsku,ў Нафцякамску,у Нефтекамську,в Нефтекамске,в Нефтекамск,v Neftekamsku,v Neftekamsku
134,w Siewieromorsku,ў Паўночнаморску,у Північноморську,в Североморске,в Североморск,v Severomorsku,v Severomorsku
135,w Kostromie,ў Кастраме,у Костромі,в Костроме,в Кострома,v Kostromi,v Kostromě
136,w Krasnokamsku,ў Краснакамску,у Краснокамську,в Краснокамске,в Краснокамск,v Krasnokamsku,v Krasnokamsku
137,w Łobnie,ў Лобні,у Лобні,в Лобне,в Лобня,v Lobnji,v Lobnyi
138,w Tule,ў Туле,у Тулі,в Туле,в Тула,v Tuli,v Tule
139,w Michajłowsku,ў Міхайлаўску,у Михайлівську,в Михайловске,в Михайловск,v Mihajlovsku,v Michajlovsku
140,w Chimkach,ў Хімках,у Хімках,в Химках,в Химки,v Khimkiju,v Chimki
141,w Kineszmie,ў Кінешме,у Кінешмі,в Кинешме,в Кинешма,v Kineshmi,v Kineshmě
142,w Jużnosachalińsku,ў Паўднёва-Сахалінску,у Южно-Сахалінську,в Южно-Сахалинске,в Южно-Сахалинск,v Južno-Sahalinsku,v Južno-Sachalinsku
143,we Szczekinie,ў Шчокіна,в Щекіне,в Щекино,в Щекино,v Shchekinu,v Shchekino
144,w Magadanie,ў Магадане,у Магадані,в Магадане,в Магадан,v Magadanu,v Magadanu
145,w Ussuryjsku,ва Усурыйску,в Уссурійську,в Уссурийске,в Усурийск,v Ussuriysku,v Ussurijsku
146,w Azowie,у Азове,в Азові,в Азове,в Азов,v Azovu,v Azovu
147,w Chitie,ў Чыце,у Читі,в Чите,в Чита,v Chiti,v Chitě
148,we Władykaukazie,ва Уладзікаўказе,у Владикавказі,во Владикавказе,във Владикавказ,v Vladikavkazu,ve Vladikavkazu
149,w Gubkinie,ў Губкіне,у Губкіні,в Губкине,в Губкин,v Gubkinu,v Gubkinu
150,w Mieżdurieczeńsku,ў Міжрэчанску,у Міжріченську,в Междуреченске,в Междуреченск,v Mezhdurechensku,v Mezhdurechensku
151,w Nieftiejugańsku,ў Нафцеюганску,у Нафтоюганську,в Нефтеюганске,в Нефтеюганск,v Nefteyugansku,v Neftejugansku
152,w Zelenodolsku,ў Зеленадольску,у Зеленодольську,в Зеленодольске,в Зеленодолск,v Zelenodolsku,v Zelenodolsku
153,w Czechowie,ў Чэхаве,у Чехові,в Чехове,в Чехов,v Čehovu,v Čechově
154,w Woroneżu,у Варонежы,у Воронежі,в Воронеже,във Воронеж,v Voronežu,ve Voroněži
155,w Zelenogorsku,ў Зеленагорску,у Зеленогірську,в Зеленогорске,в Зеленогорск,v Zelenogorsku,v Zelenogorsku
156,w Biełowie,ў Бялова,в Білово,в Белово,в Белово,v Belovem,v Belovu
157,w Gudermesie,ў Гудэрмесе,у Гудермесі,в Гудермесе,в Гудермес,v Gudermesu,v Gudermes
158,w Bieriezowskim,ў Бярозаўскім,у Березівському,в Березовском,в Березовски,v Berezovskem,v Berezovském
159,w Ust-Ilimsku,ва Усць-Ілімску,в Усть-Ілімську,в Усть-Илимске,в Уст-Илимск,v Ust-Ilimsku,v Usť-Ilimsku
160,w Serpuchowie,ў Серпухаве,у Серпухові,в Серпухове,в Серпухов,v Serpuhovu,v Serpuchově
161,w Aleksinie,у Алексіне,в Олексині,в Алексине,в Алексин,v Aleksinu,v Aleksinu
162,w Siewiersku,ў Северску,у Сіверську,в Северске,в Северск,v Seversku,v Seversku
163,w Izberbaszu,у Ізбербашы,в Ізбербаші,в Избербаше,в Избербаш,v Izberbashu,v Izberbashi
164,w Wierchniej Pyszmie,у Верхняй Пышме,у Верхній Пишмі,в Верхней Пышме,във Верхня Пишма,v Verkhnyaya Pyshma,ve Verkhnyaya Pyshma
