,pl,be,uk,ru,bg,sl,cs
0,Indie,Індыя,Індія,Индия,Индия,Indija,Indie
1,Hiszpania,Іспанія,Іспанія,Испания,Испания,Španija,Španělsko
2,Włochy,Італія,Італія,Италия,Италия,Italija,Itálie
3,Nur-Sułtan,Акмала,Нур-Султан,Нур-Султан,Нур Султан,Nursultan,Nur-Sultan
4,Aleksandria,Аляксандрыя,Александрія,Александрия,Александрия,Aleksandrija,Alexandrie
5,Ararat,Арарат,Арарат,Арарат,Арарат,Ararat,Ararat
6,Argentyna,Аргенціна,Аргентина,Аргентина,Аржентина,Argentina,Argentina
7,Afganistan,Афганістан,Афганістан,Афганистан,Афганистан,Afganistan,Afghánistán
8,Australia,Аўстралія,Австралія,Австралия,Австралия,Avstralija,Austrálie
9,Austria,Аўстрыя,Австрія,Австрия,Австрия,Avstrija,Rakousko
10,Boliwia,Балівія,Болівія,Боливия,Боливия,Bolivija,Bolívie
11,Mumbaj,Бамбей,Мумбаї,Мумбаи,Мумбай,Mumbaj,Bombaj
12,Język białoruski,Беларуская мова,Білоруська мова,Белорусский язык,Беларуски език,Beloruščina,Běloruština
13,Belgia,Бельгія,Бельгія,Бельгия,Белгия,Belgija,Belgie
14,Brazylia,Бразілія,Бразилія,Бразилия,Бразилия,Brazilija,Brazílie
15,Brześć,Брэст,Берестя,Брест,Брест,"Brest, Belorusija",Brest
16,Vanuatu,Вануату,Вануату,Вануату,Вануату,Vanuatu,Vanuatu
17,Wielka Brytania,Велікабрытанія,Велика Британія,Великобритания,Обединено кралство Великобритания и Северна Ирландия,Združeno kraljestvo Velike Britanije in Severne Irske,Spojené království
18,Wenezuela,Венесуэла,Венесуела,Венесуэла,Венецуела,Venezuela,Venezuela
20,Wilno,Вільня,Вільнюс,Вильнюс,Вилнюс,Vilna,Vilnius
21,Witebsk,Віцебск,Вітебськ,Витебск,Витебск,Vitebsk,Vitebsk
22,Ghana,Гана,Гана,Гана,Гана,Gana,Ghana
23,Niemcy,Германія,Німеччина,Германия,Германия,Nemčija,Německo
24,Homel,Гомель,Гомель,Гомель,Гомел,Gomel,Homel
25,Grecja,Грэцыя,Греція,Греция,Гърция,Grčija,Řecko
26,Dania,Данія,Данія,Дания,Дания,Danska,Dánsko
27,Dniepr,Дняпро,Дніпро,Днепр,Днепър,Dneper,Dněpr
28,Dunaj,Дунай,Дунай,Дунай,Дунав,Donava,Dunaj
29,Stany Zjednoczone,Злучаныя Штаты Амерыкі,Сполучені Штати Америки,Соединённые Штаты Америки,Съединени американски щати,Združene države Amerike,Spojené státy americké
30,Korea Północna,КНДР,Північна Корея,Корейская Народно-Демократическая Республика,Северна Корея,Severna Koreja,Severní Korea
31,Kolumbia,Калумбія,Колумбія,Колумбия,Колумбия,Kolumbija,Kolumbie
32,Kanada,Канада,Канада,Канада,Канада,Kanada,Kanada
33,Wybrzeże Kości Słoniowej,Кот-д’Івуар,Кот-д'Івуар,Кот-д’Ивуар,Кот д'Ивоар,Slonokoščena obala,Pobřeží slonoviny
34,Kijów,Кіеў,Київ,Киев,Киев,Kijev,Kyjev
35,La Paz,Ла-Пас,Ла-Пас,Ла-Пас,Ла Пас,La Paz,La Paz
36,Luksemburg,Люксембург,Люксембург,Люксембург,Люксембург,Luksemburg,Lucembursko
37,Lucerna,Люцэрн,Люцерн,Люцерн,Люцерн,Luzern,Lucern
38,Litwa,Літва,Литва,Литва,Литва,Litva,Litva
39,Mohylew,Магілёў,Могильов,Могилёв,Могильов,Mogilev,Mogilev
40,Monako,Манака,Монако,Монако,Монако,Monako,Monako
41,Mińsk,Мінск,Мінськ,Минск,Минск,Minsk,Minsk
42,Nowa Zelandia,Новая Зеландыя,Нова Зеландія,Новая Зеландия,Нова Зеландия,Nova Zelandija,Nový Zéland
43,Holandia,Нідэрланды,Нідерланди,Нидерланды,Нидерландия,Nizozemska,Nizozemsko
44,Pakistan,Пакістан,Пакистан,Пакистан,Пакистан,Pakistan,Pákistán
45,Południowa Afryka,Паўднёва-Афрыканская Рэспубліка,Південно-Африканська Республіка,Южно-Африканская Республика,Република Южна Африка,Republika Južna Afrika,Jihoafrická republika
47,Peru,Перу,Перу,Перу,Перу,Peru,Peru
48,Polska,Польшча,Польща,Польша,Полша,Poljska,Polsko
49,Punta Arenas,Пунта-Арэнас,Пунта-Аренас,Пунта-Аренас,Пунта Аренас,Punta Arenas,Punta Arenas
50,Rosja,Расія,Росія,Россия,Русия,Rusija,Rusko
51,Rwanda,Руанда,Руанда,Руанда,Руанда,Ruanda,Rwanda
52,Rumunia,Румынія,Румунія,Румыния,Румъния,Romunija,Rumunsko
53,Białoruś,Рэспубліка Беларусь,Білорусь,Белоруссия,Беларус,Belorusija,Bělorusko
54,Arabia Saudyjska,Саудаўская Аравія,Саудівська Аравія,Саудовская Аравия,Саудитска Арабия,Saudova Arabija,Saúdská Arábie
55,Sucre,Сукрэ,Сукре,Сукре,Сукре,Sucre,Sucre
56,Singapur,Сінгапур,Сінгапур,Сингапур,Сингапур,Singapur,Singapur
57,Turcja,Турцыя,Туреччина,Турция,Турция,Turčija,Turecko
58,Francja,Францыя,Франція,Франция,Франция,Francija,Francie
59,Filipiny,Філіпіны,Філіппіни,Филиппины,Филипини,Filipini,Filipíny
60,Chile,Чылі,Чилі,Чили,Чили,Čile,Chile
61,Czechy,Чэхія,Чехія,Чехия,Чехия,Češka,Česko
63,Szwajcaria,Швейцарыя,Швейцарія,Швейцария,Швейцария,Švica,Švýcarsko
64,Szwecja,Швецыя,Швеція,Швеция,Швеция,Švedska,Švédsko
65,Etiopia,Эфіопія,Ефіопія,Эфиопия,Етиопия,Etiopija,Etiopie
66,Islamabad,Ісламабад,Ісламабад,Исламабад,Исламабад,Islamabad,Islámábád
67,Abu Zabi,Абу-Дабі,Абу-Дабі,Абу-Даби,Абу Даби,Abu Dabi,Abú Zabí
68,Abudża,Абуджа,Абуджа,Абуджа,Абуджа,Abuja,Abuja
69,Abidżan,Абіджан,Абіджан,Абиджан,Абиджан,Abidžan,Abidžan
70,Avarua,Аваруа,Аваруа,Аваруа,Аваруа,Avarua,Avarua
71,Aden,Адэн,Аден,Аден,Аден,"Aden, Jemen",Aden
72,Acapulco,Акапулька,Акапулько,Акапулько,Акапулко,Acapulco,Acapulco
74,Akra,Акра,Аккра,Аккра,Акра,Akra,Akkra
75,Algier,Алжыр,Алжир,Алжир,Алжир,Alžir,Alžír
76,Alofi,Алофі,Алофі,Алофи,Алофи,Alofi,Alofi
78,Amman,Аман,Амман,Амман,Аман,Aman,Ammán
79,Amsterdam,Амстэрдам,Амстердам,Амстердам,Амстердам,Amsterdam,Amsterdam
80,Ankara,Анкара,Анкара,Анкара,Анкара,Ankara,Ankara
81,Antananarywa,Антананарыву,Антананаріву,Антананариву,Антананариву,Antananarivo,Antananarivo
82,Antwerpia,Антверпен,Антверпен,Антверпен,Антверпен,Antwerpen,Antverpy
83,Apia,Апія,Апіа,Апиа,Апия,Apia,Apia
84,Asmara,Асмара,Асмера,Асмэра,Асмара,Asmara,Asmara
86,Asunción,Асунсьён,Асунсьйон,Асунсьон,Асунсион,Asunción,Asunción
87,Ateny,Афіны,Афіни,Афины,Атина,Atene,Athény
88,Aszchabad,Ашгабат,Ашгабат,Ашхабад,Ашхабад,Ašhabad,Ašchabad
89,Ajaccio,Аяча,Аяччо,Аяччо,Аячо,Ajaccio,Ajaccio
90,Bogota,Багата,Богота,Богота,Богота,Bogota,Bogotá
91,Bagdad,Багдад,Багдад,Багдад,Багдад,Bagdad,Bagdád
92,Baku,Баку,Баку,Баку,Баку,Baku,Baku
93,Bamako,Бамако,Бамако,Бамако,Бамако,Bamako,Bamako
95,Bangkok,Бангкок,Бангкок,Бангкок,Банкок,Bangkok,Bangkok
96,Bangi,Бангі,Бангі,Банги,Банги,Bangui,Bangui
97,Bandar Seri Begawan,Бандар-Серы-Бегаван,Бандар-Сері-Бегаван,Бандар-Сери-Бегаван,Бандар Сери Бегаван,Bandar Seri Begawan,Bandar Seri Begawan
98,Bandżul,Банжул,Банжул,Банжул,Банджул,Banjul,Banjul
99,Barranquilla,Баранкілья,Барранкілья,Барранкилья,Баранкиля,Barranquilla,Barranquilla
100,Bordeaux,Бардо,Бордо,Бордо,Бордо,Bordeaux,Bordeaux
101,Barcelona,Барселона,Барселона,Барселона,Барселона,Barcelona,Barcelona
102,Basseterre,Бастэр,Бастер,Бастер,Бастер,Basseterre,Basseterre
103,Bejrut,Бейрут,Бейрут,Бейрут,Бейрут,Bejrut,Bejrút
104,Belgrad,Бялград,Белград,Белград,Белград,Beograd,Bělehrad
105,Belfast,Белфаст,Белфаст,Белфаст,Белфаст,Belfast,Belfast
106,Belmopan,Бельмапан,Бельмопан,Бельмопан,Белмопан,Belmopan,Belmopan
107,Berlin,Берлін,Берлін,Берлин,Берлин,Berlin,Berlín
108,Berno,Берн,Берн,Берн,Берн,Bern,Bern
109,Brazzaville,Бразавіль,Браззавіль,Браззавиль,Бразавил,Brazzaville,Brazzaville
