,pl,be,uk,ru,bg,sl,cs
0,"Większość popularnych szynek peklowanych na mokro dostępnych w supermarketach [loc] to szynka miejska, [potrzebne źródło], w której solanka jest wstrzykiwana do mięsa w celu bardzo szybkiego peklowania, nadającego się na rynek masowy.","Большасць распаўсюджанай сырой вяндліны, даступнай [loc] супермаркетах, мае гатунак «гарадской вяндліны», [патрэбная цытата], у якой расол ўводзяць у мяса для вельмі хуткага вялення, прыдатнага для масавага рынку.","Більшість звичайних в’яленої шинки, доступної [loc] супермаркетах, є різновидом «міської шинки», [потрібна цитата], у якій розсіл вводять у м’ясо для дуже швидкого затвердіння, придатного для масового ринку.","Большая часть обычной вяленой ветчины, доступной [loc] супермаркетах, относится к разновидности «городской ветчины», [нужна цитата], в которой рассол впрыскивается в мясо для очень быстрого посола, подходящего для массового рынка.","По-голямата част от обикновените мокро-сушени шунки, налични [loc] супермаркети, са от сорта ""градска шунка"", [нужно цитиране], при който саламурата се инжектира в месото за много бързо втвърдяване, подходящо за масовия пазар.","Večina običajnih mokro sušenih pršutov, ki so na voljo [loc] supermarketih, je sorte ""mestna šunka"", [potreben citiranje], pri kateri se slanica vbrizga v meso za zelo hitro sušenje, primerno za množični trg.","Většina běžné šunky konzervované za mokra, která je k dispozici [loc] supermarketech, je odrůdy ""městská šunka"", ve které se do masa vstřikuje solný roztok pro velmi rychlé vytvrzení vhodné pro masový trh."
1,"Właśnie z tego powodu ten dubbing zyskał kult fanów [loc], chociaż wielu fanów anime uważa, że ​​jest to wysoce lekceważące dla oryginalnego dzieła.","Менавіта па гэтай прычыне гэты дубляж стаў культавым [loc], хоць многія прыхільнікі анімэ лічаць яго вельмі непаважлівым да арыгінальнай працы.","Саме з цієї причини цей дубляж став культовим [loc], хоча багато шанувальників аніме вважають його вкрай неповагою до оригінальної роботи.","Именно по этой причине этот дубляж стал культовым [loc], хотя многие фанаты аниме считают его крайне неуважительным по отношению к оригинальной работе.","Този дублаж събра култ [loc] именно поради тази причина, въпреки че много фенове на анимето го смятат за силно неуважително към оригиналната работа.","Ta sinhronizacija je zbrala kult privržencev [loc] prav zaradi tega razloga, čeprav številni oboževalci animejev menijo, da je zelo nespoštljiva do izvirnega dela.","Tento dabing shromáždil kultovní pokračování [loc] právě z toho důvodu, ačkoli mnoho fanoušků anime to považuje za velmi neuctivé k původnímu dílu."
2,"Powiedział: „Podoba mi się pomysł, że jest jeńcem wojennym [loc].","Ён сказаў: «Мне падабаецца ідэя, што ён быў ваеннапалонным [loc].","Він сказав: «Мені подобається ідея, що він є військовополоненим [loc].","Он сказал: «Мне нравится идея, что он военнопленный [loc].",Той каза: „Харесва ми идеята той да е военнопленник [loc].,"Rekel je: ""Všeč mi je ideja, da je vojni ujetnik [loc].","Řekl: „Líbí se mi představa, že je válečným zajatcem [loc]."
3,"W rankingu ARWU za 2008 r. sześć ze 100 najlepszych uniwersytetów na świecie znajduje się w [loc], a 18 w pierwszej 200.","У рэйтынгу ARWU за 2008 год шэсць з 100 лепшых універсітэтаў свету ўваходзяць [loc], а 18 — у топ-200.","У рейтингу ARWU за 2008 рік шість із 100 найкращих університетів світу входять [loc], а 18 у топ-200.","В рейтинге ARWU за 2008 год шесть из 100 лучших университетов мира находятся [loc], а 18 входят в число 200 лучших.","В класацията на ARWU за 2008 г. шест от 100-те най-добри университета в света са [loc], а 18 в топ 200.","Na lestvici ARWU za leto 2008 je šest od 100 najboljših univerz na svetu [loc], 18 pa med 200 najboljšimi.",V žebříčku ARWU za rok 2008 je šest ze 100 nejlepších univerzit na světě [loc] a 18 mezi 200 nejlepšími.
4,"W sierpniu 2007 r. pojawiło się więcej konfliktów [loc], ponieważ miasto zażądało dyskusji na temat siedziby rządu wewnątrz zgromadzenia, mając nadzieję, że władza wykonawcza i ustawodawcza może powrócić do miasta, ale zgromadzenie i rząd stwierdziły, że żądanie to zostało zdecydowanie niepraktyczne i politycznie niepożądane.","У жніўні 2007 г. узніклі новыя канфлікты [loc], паколькі горад запатрабаваў абмеркавання месца ўрада ўнутры асамблеі, спадзеючыся, што выканаўчая і заканадаўчая ўлада могуць вярнуцца ў горад, але сход і ўрад заявілі, што гэта патрабаванне было у пераважнай большасці непрактычны і палітычна непажаданы.","У серпні 2007 року виникло більше конфліктів [loc], оскільки місто вимагало обговорення місця розташування уряду всередині асамблеї, сподіваючись, що виконавча та законодавча влада можуть повернутися до міста, але збори та уряд заявили, що ця вимога була вкрай непрактичні та політично небажані.","В августе 2007 г. возникли новые конфликты [loc], поскольку городские власти потребовали обсуждения места пребывания правительства внутри собрания, надеясь, что исполнительная и законодательная власть могут вернуться в город, но собрание и правительство заявили, что это требование было крайне непрактично и политически нежелательно.","През август 2007 г. възникнаха още конфликти [loc], тъй като градът поиска обсъждането на седалището на правителството вътре в събранието, надявайки се изпълнителната и законодателната власт да се върнат в града, но събранието и правителството казаха, че това искане е изключително непрактични и политически нежелателни.","Avgusta 2007 je prišlo do več konfliktov [loc], saj je mesto zahtevalo razpravo o sedežu vlade znotraj skupščine v upanju, da se bo izvršna in zakonodajna veja lahko vrnila v mesto, vendar sta skupščina in vlada dejali, da je ta zahteva izjemno nepraktična in politično nezaželena.","V srpnu 2007 vyvstaly další konflikty [loc], protože město požadovalo projednání sídla vlády uvnitř shromáždění v naději, že by se výkonná a zákonodárná moc mohla vrátit do města, ale shromáždění a vláda uvedly, že tento požadavek byl naprosto nepraktické a politicky nežádoucí."
5,Powstały one w zasadzie na konferencji ambasadorów w latach 1912-1913 [loc].,Яны былі прынцыпова створаны на канферэнцыі паслоў 1912-1913 гг. [loc].,Вони були засновані принципово на конференції послів 1912-1913 рр. [loc].,Принципиально они были установлены на конференции послов 1912-1913 гг. [в ​​???].,Те са създадени по принцип на конференцията на посланиците от 1912-1913 г. [в ​​???].,Načeloma so bili ustanovljeni na konferenci veleposlanikov 1912-1913 [loc].,V zásadě byly založeny na konferenci velvyslanců v letech 1912-1913 [loc].
6,Jej siedziba to [loc].,Яе штаб-кватэра знаходзіцца [loc].,Його штаб-квартира знаходиться [loc].,Его штаб-квартира находится [loc].,Седалището му е [loc].,Njegov sedež je [loc].,Její sídlo je [loc].
7,Po drodze zatrzymali się [loc].,Па дарозе спыніліся [loc].,По дорозі зупинилися [loc].,По дороге остановились [loc].,По пътя спряха [loc].,Na poti so se ustavili [loc].,Cestou se zastavili [loc].
8,Głównym środkiem transportu [loc] jest sieć drogowa i samochód.,Асноўным відам транспарту [loc] з'яўляецца дарожная сетка і аўтамабіль.,Основним видом транспорту [loc] є дорожня мережа та автомобіль.,Основным видом транспорта [loc] является дорожная сеть и автомобиль.,Основният вид транспорт [loc] е пътната мрежа и автомобилът.,Glavni način prevoza [loc] je cestno omrežje in avtomobil.,Hlavním způsobem dopravy [loc] je silniční síť a automobil.
9,"Całkowite obciążenie podatkowe federalne, stanowe i lokalne [loc] plasuje stan jako drugi najmniej obciążony podatkami stan w kraju.","Агульная федэральная, штатная і мясцовая падатковая нагрузка [loc] ставіць штат як другі найменш абцяжараны падаткамі штат у краіне.","Загальний податковий тягар федерального, штату та місцевого рівня [loc] ставить штат як другий найменш обтяжений податками штат в країні.","Общее федеральное, государственное и местное налоговое бремя [loc] оценивает штат как второй штат с наименьшим налоговым бременем в стране.","Общата федерална, щатска и местна данъчна тежест [loc] нарежда държавата като втората най-малко обременена с данъци държава в страната.","Celotna zvezna, državna in lokalna davčna obremenitev [loc] uvršča državo kot drugo najmanj davčno obremenjeno državo v državi.","Celková federální, státní a místní daňová zátěž [loc] řadí stát na druhý nejméně daňově zatížený stát v zemi."
