,pl,be,uk,ru,bg,sl,cs
0,Międzynarodowa Unia Astronomiczna,IAU,Міжнародний астрономічний союз,Международный астрономический союз,Международен астрономически съюз,Mednarodna astronomska zveza,Mezinárodní astronomická unie
1,Międzynarodowa Unia Astronomiczna,Міжнародны астранамічны саюз,Міжнародний астрономічний союз,Международный астрономический союз,Международен астрономически съюз,Mednarodna astronomska zveza,Mezinárodní astronomická unie
2,NATO,Арганізацыя Паўночна-Атлантычнай Дамовы,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
3,NATO,НАТА,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
4,Europejskie Obserwatorium Południowe,Еўрапейская паўднёвая абсерваторыя,Європейська південна обсерваторія,Европейская южная обсерватория,Европейска южна обсерватория,Evropski južni observatorij,Evropská jižní observatoř
5,Europejskie Obserwatorium Południowe,ESO,Європейська південна обсерваторія,Европейская южная обсерватория,Европейска южна обсерватория,Evropski južni observatorij,Evropská jižní observatoř
6,Światowa Organizacja Zdrowia,Сусветная арганізацыя аховы здароўя,Всесвітня організація охорони здоров'я,Всемирная организация здравоохранения,Световна здравна организация,Svetovna zdravstvena organizacija,Světová zdravotnická organizace
7,NATO,NATO,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
8,Światowa Organizacja Handlu,Сусветная гандлёвая арганізацыя,Світова організація торгівлі,Всемирная торговая организация,Световна търговска организация,Svetovna trgovinska organizacija,Světová obchodní organizace
9,Tamilskie Tygrysy,Тыгры вызвалення Таміл-Ілама,Тигри визволення Таміл-Іламу,Тигры освобождения Тамил-Илама,Тигри за освобождение на Тамил Илам,Osvobodilni tigri Tamilskega Eelama,Tygři osvobození tamilského Ílamu
10,Moskiewski Uniwersytet Państwowy im. M.W. Łomonosowa,Маскоўскі дзяржаўны ўніверсітэт імя М. В. Ламаносава,Московський державний університет імені М. В. Ломоносова,Московский государственный университет,Московски държавен университет,Državna univerza v Moskvi,Lomonosovova univerzita
11,Międzynarodowa Unia Chemii Czystej i Stosowanej,Міжнародны саюз тэарэтычнай і прыкладной хіміі,IUPAC,Международный союз теоретической и прикладной химии,Международен съюз за чиста и приложна химия,Mednarodna zveza za čisto in uporabno kemijo,Mezinárodní unie pro čistou a užitou chemii
12,Beneluks,Бенілюкс,Бенілюкс,Бенилюкс,Бенелюкс,Beneluks,Benelux
13,Organizacja Narodów Zjednoczonych,Арганізацыя Аб’яднаных Нацый,Організація Об'єднаних Націй,Организация Объединённых Наций,Организация на обединените нации,Organizacija združenih narodov,Organizace spojených národů
14,Organizacja Narodów Zjednoczonych,ААН,Організація Об'єднаних Націй,Организация Объединённых Наций,Организация на обединените нации,Organizacija združenih narodov,Organizace spojených národů
15,UNESCO,ЮНЭСКА,ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
16,UNESCO,ЮНЕСКА,ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
17,General Motors,GMC,General Motors,General Motors,Дженеръл Мотърс,General Motors,General Motors
18,General Motors,General Motors,General Motors,General Motors,Дженеръл Мотърс,General Motors,General Motors
19,Młoda Bośnia,Млада Босна,Млада Босна,Млада Босна,Млада Босна,Mlada Bosna,Mladá Bosna
20,Istituto Nazionale di Statistica,Код ISTAT,Національний інститут статистики Італії,ISTAT,Национален институт по статистика (Италия),Istituto Nazionale di Statistica,Italský národní statistický institut
21,Istituto Nazionale di Statistica,ISTAT,Національний інститут статистики Італії,ISTAT,Национален институт по статистика (Италия),Istituto Nazionale di Statistica,Italský národní statistický institut
22,UNESCO,"Арганізацыя Аб'яднаных Нацый па пытаннях адукацыі, навукі і культуры",ЮНЕСКО,ЮНЕСКО,ЮНЕСКО,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo",UNESCO
23,Organizacja Narodów Zjednoczonych,Арганізацыя аб'яднаных нацый,Організація Об'єднаних Націй,Организация Объединённых Наций,Организация на обединените нации,Organizacija združenih narodov,Organizace spojených národů
24,G7 (grupa),Вялікая сямёрка,G7,Большая семёрка,Г-7,G7,G7
25,G7 (grupa),Вялікая Васьмёрка,G7,Большая семёрка,Г-7,G7,G7
26,G7 (grupa),G8,G7,Большая семёрка,Г-7,G7,G7
27,Międzynarodowy Fundusz Walutowy,МВФ,Міжнародний валютний фонд,Международный валютный фонд,Международен валутен фонд,Mednarodni denarni sklad,Mezinárodní měnový fond
28,Międzynarodowy Fundusz Walutowy,Міжнародны валютны фонд,Міжнародний валютний фонд,Международный валютный фонд,Международен валутен фонд,Mednarodni denarni sklad,Mezinárodní měnový fond
29,Unia Afrykańska,Афрыканскі саюз,Африканський Союз,Африканский союз,Африкански съюз,Afriška unija,Africká unie
30,Unia Afrykańska,Афрыканскі Саюз,Африканський Союз,Африканский союз,Африкански съюз,Afriška unija,Africká unie
31,Liga Państw Arabskich,Ліга арабскіх дзяржаў,Ліга арабських держав,Лига арабских государств,Лига на арабските държави,Arabska liga,Liga arabských států
32,Wikimedia Foundation,Фонд Вікімедыя,Фонд Вікімедіа,Фонд Викимедиа,Уикимедия,Fundacija Wikimedia,Nadace Wikimedia
33,Organizacja Układu o Bezpieczeństwie Zbiorowym,Арганізацыя Дагавора аб калектыўнай бяспецы,Організація договору про колективну безпеку,Организация Договора о коллективной безопасности,Организация на Договора за колективна сигурност,Organizacija dogovora o skupni varnosti,Organizace Smlouvy o kolektivní bezpečnosti
34,Organizacja Układu o Bezpieczeństwie Zbiorowym,АДКБ,Організація договору про колективну безпеку,Организация Договора о коллективной безопасности,Организация на Договора за колективна сигурност,Organizacija dogovora o skupni varnosti,Organizace Smlouvy o kolektivní bezpečnosti
35,Stowarzyszenie Narodów Azji Południowo-Wschodniej,Асацыяцыя дзяржаў Паўднёва-Усходняй Азіі,Асоціація держав Південно-Східної Азії,Ассоциация государств Юго-Восточной Азии,Асоциация на страните от Югоизточна Азия,Zveza držav Jugovzhodne Azije,Sdružení národů jihovýchodní Asie
36,Amnesty International,Amnesty International,Amnesty International,Amnesty International,Амнести Интернешънъл,Amnesty International,Amnesty International
37,NATO,Арганізацыя Паўночнаатлантычнага дагавора,НАТО,НАТО,НАТО,NATO,Severoatlantická aliance
38,Ku Klux Klan,Ку-клукс-клан,Ку-клукс-клан,Ку-клукс-клан,Ку-клукс-клан,Kukluksklan,Ku-klux-klan
