,pl,be,uk,ru,bg,sl,cs,en
0,Indie,Індыя,Індія,Индия,Индия,Indija,Indie,India
1,Hiszpania,Іспанія,Іспанія,Испания,Испания,Španija,Španělsko,Spain
2,Włochy,Італія,Італія,Италия,Италия,Italija,Itálie,Italy
3,Nur-Sułtan,Акмала,Нур-Султан,Нур-Султан,Нур Султан,Nursultan,Nur-Sultan,Nur-Sultan
4,Aleksandria,Аляксандрыя,Александрія,Александрия,Александрия,Aleksandrija,Alexandrie,Alexandria
5,Ararat,Арарат,Арарат,Арарат,Арарат,Ararat,Ararat,Ararat
6,Argentyna,Аргенціна,Аргентина,Аргентина,Аржентина,Argentina,Argentina,Argentina
7,Afganistan,Афганістан,Афганістан,Афганистан,Афганистан,Afganistan,Afghánistán,Afghanistan
8,Australia,Аўстралія,Австралія,Австралия,Австралия,Avstralija,Austrálie,Australia
9,Austria,Аўстрыя,Австрія,Австрия,Австрия,Avstrija,Rakousko,Austria
10,Boliwia,Балівія,Болівія,Боливия,Боливия,Bolivija,Bolívie,Bolivia
11,Mumbaj,Бамбей,Мумбаї,Мумбаи,Мумбай,Mumbaj,Bombaj,Mumbai
12,Belgia,Бельгія,Бельгія,Бельгия,Белгия,Belgija,Belgie,Belgium
13,Brazylia,Бразілія,Бразилія,Бразилия,Бразилия,Brazilija,Brazílie,Brazil
14,Brześć,Брэст,Берестя,Брест,Брест,Brest,Brest,Brest
15,Vanuatu,Вануату,Вануату,Вануату,Вануату,Vanuatu,Vanuatu,Vanuatu
16,Wielka Brytania,Велікабрытанія,Велика Британія,Великобритания,Обединено кралство Великобритания и Северна Ирландия,Združeno kraljestvo Velike Britanije in Severne Irske,Spojené království,United Kingdom
17,Wenezuela,Венесуэла,Венесуела,Венесуэла,Венецуела,Venezuela,Venezuela,Venezuela
18,Wilno,Вільня,Вільнюс,Вильнюс,Вилнюс,Vilna,Vilnius,Vilnius
19,Witebsk,Віцебск,Вітебськ,Витебск,Витебск,Vitebsk,Vitebsk,Vitebsk
20,Ghana,Гана,Гана,Гана,Гана,Gana,Ghana,Ghana
21,Niemcy,Германія,Німеччина,Германия,Германия,Nemčija,Německo,Germany
22,Homel,Гомель,Гомель,Гомель,Гомел,Gomel,Homel,Gomel
23,Grecja,Грэцыя,Греція,Греция,Гърция,Grčija,Řecko,Greece
24,Dania,Данія,Данія,Дания,Дания,Danska,Dánsko,Denmark
25,Dniepr,Дняпро,Дніпро,Днепр,Днепър,Dneper,Dněpr,Dnieper
26,Dunaj,Дунай,Дунай,Дунай,Дунав,Donava,Dunaj,Danube
27,Stany Zjednoczone,Злучаныя Штаты Амерыкі,Сполучені Штати Америки,Соединённые Штаты Америки,Съединени американски щати,Združene države Amerike,Spojené státy americké,United States
28,Korea Północna,КНДР,Північна Корея,Корейская Народно-Демократическая Республика,Северна Корея,Severna Koreja,Severní Korea,North Korea
29,Kolumbia,Калумбія,Колумбія,Колумбия,Колумбия,Kolumbija,Kolumbie,Colombia
30,Kanada,Канада,Канада,Канада,Канада,Kanada,Kanada,Canada
31,Wybrzeże Kości Słoniowej,Кот-д’Івуар,Кот-д'Івуар,Кот-д’Ивуар,Кот д'Ивоар,Slonokoščena obala,Pobřeží slonoviny,Ivory Coast
32,Kijów,Кіеў,Київ,Киев,Киев,Kijev,Kyjev,Kyiv
33,La Paz,Ла-Пас,Ла-Пас,Ла-Пас,Ла Пас,La Paz,La Paz,La Paz
34,Luksemburg,Люксембург,Люксембург,Люксембург,Люксембург,Luksemburg,Lucembursko,Luxembourg
35,Lucerna,Люцэрн,Люцерн,Люцерн,Люцерн,Luzern,Lucern,Lucerne
36,Litwa,Літва,Литва,Литва,Литва,Litva,Litva,Lithuania
37,Mohylew,Магілёў,Могильов,Могилёв,Могильов,Mogilev,Mogilev,Mogilev
38,Monako,Манака,Монако,Монако,Монако,Monako,Monako,Monaco
39,Mińsk,Мінск,Мінськ,Минск,Минск,Minsk,Minsk,Minsk
40,Nowa Zelandia,Новая Зеландыя,Нова Зеландія,Новая Зеландия,Нова Зеландия,Nova Zelandija,Nový Zéland,New Zealand
41,Holandia,Нідэрланды,Нідерланди,Нидерланды,Нидерландия,Nizozemska,Nizozemsko,Netherlands
42,Pakistan,Пакістан,Пакистан,Пакистан,Пакистан,Pakistan,Pákistán,Pakistan
43,Południowa Afryka,Паўднёва-Афрыканская Рэспубліка,Південно-Африканська Республіка,Южно-Африканская Республика,Република Южна Африка,Republika Južna Afrika,Jihoafrická republika,South Africa
44,Peru,Перу,Перу,Перу,Перу,Peru,Peru,Peru
45,Polska,Польшча,Польща,Польша,Полша,Poljska,Polsko,Poland
46,Punta Arenas,Пунта-Арэнас,Пунта-Аренас,Пунта-Аренас,Пунта Аренас,Punta Arenas,Punta Arenas,Punta Arenas
47,Rosja,Расія,Росія,Россия,Русия,Rusija,Rusko,Russia
48,Rwanda,Руанда,Руанда,Руанда,Руанда,Ruanda,Rwanda,Rwanda
49,Rumunia,Румынія,Румунія,Румыния,Румъния,Romunija,Rumunsko,Romania
50,Białoruś,Рэспубліка Беларусь,Білорусь,Белоруссия,Беларус,Belorusija,Bělorusko,Belarus
51,Arabia Saudyjska,Саудаўская Аравія,Саудівська Аравія,Саудовская Аравия,Саудитска Арабия,Saudova Arabija,Saúdská Arábie,Saudi Arabia
52,Sucre,Сукрэ,Сукре,Сукре,Сукре,Sucre,Sucre,Sucre
53,Singapur,Сінгапур,Сінгапур,Сингапур,Сингапур,Singapur,Singapur,Singapore
54,Turcja,Турцыя,Туреччина,Турция,Турция,Turčija,Turecko,Turkey
55,Francja,Францыя,Франція,Франция,Франция,Francija,Francie,France
56,Filipiny,Філіпіны,Філіппіни,Филиппины,Филипини,Filipini,Filipíny,Philippines
57,Chile,Чылі,Чилі,Чили,Чили,Čile,Chile,Chile
58,Czechy,Чэхія,Чехія,Чехия,Чехия,Češka,Česko,Czech Republic
59,Szwajcaria,Швейцарыя,Швейцарія,Швейцария,Швейцария,Švica,Švýcarsko,Switzerland
60,Szwecja,Швецыя,Швеція,Швеция,Швеция,Švedska,Švédsko,Sweden
61,Etiopia,Эфіопія,Ефіопія,Эфиопия,Етиопия,Etiopija,Etiopie,Ethiopia
62,Islamabad,Ісламабад,Ісламабад,Исламабад,Исламабад,Islamabad,Islámábád,Islamabad
63,Abu Zabi,Абу-Дабі,Абу-Дабі,Абу-Даби,Абу Даби,Abu Dabi,Abú Zabí,Abu Dhabi
64,Abudża,Абуджа,Абуджа,Абуджа,Абуджа,Abuja,Abuja,Abuja
65,Abidżan,Абіджан,Абіджан,Абиджан,Абиджан,Abidžan,Abidžan,Abidjan
66,Avarua,Аваруа,Аваруа,Аваруа,Аваруа,Avarua,Avarua,Avarua
67,Aden,Адэн,Аден,Аден,Аден,Aden,Aden,Aden
68,Acapulco,Акапулька,Акапулько,Акапулько,Акапулко,Acapulco,Acapulco,Acapulco
69,Akra,Акра,Аккра,Аккра,Акра,Akra,Akkra,Accra
70,Algier,Алжыр,Алжир,Алжир,Алжир,Alžir,Alžír,Algeria
71,Alofi,Алофі,Алофі,Алофи,Алофи,Alofi,Alofi,Alofi
72,Amman,Аман,Амман,Амман,Аман,Aman,Ammán,Amman
73,Amsterdam,Амстэрдам,Амстердам,Амстердам,Амстердам,Amsterdam,Amsterdam,Amsterdam
74,Ankara,Анкара,Анкара,Анкара,Анкара,Ankara,Ankara,Ankara
75,Antananarywa,Антананарыву,Антананаріву,Антананариву,Антананариву,Antananarivo,Antananarivo,Antananarivo
76,Antwerpia,Антверпен,Антверпен,Антверпен,Антверпен,Antwerpen,Antverpy,Antwerp
77,Apia,Апія,Апіа,Апиа,Апия,Apia,Apia,Apia
78,Asmara,Асмара,Асмера,Асмэра,Асмара,Asmara,Asmara,Asmara
79,Asunción,Асунсьён,Асунсьйон,Асунсьон,Асунсион,Asunción,Asunción,Asunción
80,Ateny,Афіны,Афіни,Афины,Атина,Atene,Athény,Athens
81,Aszchabad,Ашгабат,Ашгабат,Ашхабад,Ашхабад,Ašhabad,Ašchabad,Ashgabat
82,Ajaccio,Аяча,Аяччо,Аяччо,Аячо,Ajaccio,Ajaccio,Ajaccio
83,Bogota,Багата,Богота,Богота,Богота,Bogota,Bogotá,Bogotá
84,Bagdad,Багдад,Багдад,Багдад,Багдад,Bagdad,Bagdád,Baghdad
85,Baku,Баку,Баку,Баку,Баку,Baku,Baku,Baku
86,Bamako,Бамако,Бамако,Бамако,Бамако,Bamako,Bamako,Bamako
87,Bangkok,Бангкок,Бангкок,Бангкок,Банкок,Bangkok,Bangkok,Bangkok
88,Bangi,Бангі,Бангі,Банги,Банги,Bangui,Bangui,Bangui
89,Bandar Seri Begawan,Бандар-Серы-Бегаван,Бандар-Сері-Бегаван,Бандар-Сери-Бегаван,Бандар Сери Бегаван,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan
90,Bandżul,Банжул,Банжул,Банжул,Банджул,Banjul,Banjul,Banjul
91,Barranquilla,Баранкілья,Барранкілья,Барранкилья,Баранкиля,Barranquilla,Barranquilla,Barranquilla
92,Bordeaux,Бардо,Бордо,Бордо,Бордо,Bordeaux,Bordeaux,Bordeaux
93,Barcelona,Барселона,Барселона,Барселона,Барселона,Barcelona,Barcelona,Barcelona
94,Basseterre,Бастэр,Бастер,Бастер,Бастер,Basseterre,Basseterre,Basseterre
95,Bejrut,Бейрут,Бейрут,Бейрут,Бейрут,Bejrut,Bejrút,Beirut
