,pl,be,uk,ru,bg,sl,cs,en
0,"Innym godnym uwagi ciałem o wysokim albedo jest [???], z albedo 0,86.","Яшчэ адно прыкметнае цела з высокім альбеда - [???] з альбеда 0,86.","Іншим помітним тілом з високим альбедо є [???] з альбедо 0,86.","Еще одно известное тело с высоким альбедо — [???] с альбедо 0,86.","Друго забележително тяло с високо албедо е [???], с албедо от 0,86.","Drugo opazno telo z visokim albedom je [???], z albedom 0,86.","Další pozoruhodné tělo s vysokým albedem je [???] s albedem 0,86.","Another notable high albedo body is [???], with an albedo of 0.86."
1,[???] zajmuje 30. miejsce pod względem całkowitej powierzchni lądowej i drugie miejsce pod względem wielkości śródlądowych dróg wodnych.,[???] займае 30-е месца па агульнай плошчы сушы і другое па памеры ўнутраных водных шляхоў.,[???] займає 30 місце за загальною площею суші та друге місце за розміром внутрішніх водних шляхів.,[???] занимает 30-е место по общей площади суши и второе место по размеру внутренних водных путей.,[???] се нарежда на 30-то място по обща земна площ и на второ място по размер на вътрешните водни пътища.,[???] se uvršča na 30. mesto po skupni površini kopnega in na drugem mestu po velikosti celinskih plovnih poti.,[???] zaujímá 30. místo v celkové rozloze pevniny a druhé místo ve velikosti svých vnitrozemských vodních cest.,[???] ranks 30th in total land area and ranks second in the size ofits inland waterways.
2,Największym miastem pod względem liczby ludności jest [???].,Самы вялікі горад па колькасці насельніцтва [???].,Найбільше місто за кількістю населення [???].,Крупнейший город по численности населения [???].,Най-големият град по население е [???].,Največje mesto po številu prebivalcev je [???].,Největší město podle počtu obyvatel je [???].,The largest city by population is [???].
3,Największym miastem pod względem całkowitej powierzchni lądowej jest [???].,Найбуйнейшы горад па агульнай плошчы [???].,Найбільшим містом за загальною площею є [???].,Самый большой город по общей площади земли [???].,Най-големият град по обща площ е [???].,Največje mesto po skupni površini je [???].,Největší město podle celkové rozlohy je [???].,The largest city by total land area is [???].
4,"Ogólnie rzecz biorąc, [???] ma bardzo gorące lata i łagodne zimy z obfitymi opadami przez cały rok.","Як правіла, у [???] вельмі спякотнае лета і мяккая зіма з багатымі ападкамі на працягу ўсяго года.","Як правило, [???] має дуже спекотне літо та м’яку зиму з рясними опадами протягом усього року.","Как правило, [???] имеет очень жаркое лето и мягкую зиму с обильными осадками в течение всего года.",Като цяло [???] има много горещо лято и мека зима с обилни валежи през цялата година.,Na splošno ima [???] zelo vroča poletja in blage zime z obilnimi padavinami skozi vse leto.,Obecně má [???] velmi horká léta a mírné zimy s vydatnými srážkami po celý rok.,"Generally, [???] has very hot summers and mild winters with copious precipitation throughout the year."
5,"[???] otrzymuje średnio 1400 mm opadów rocznie i cieszy się długim okresem wegetacji, do 300 dni w południowej części stanu.",[???] атрымлівае ў сярэднім 56 цаляў (1400 мм) ападкаў у год і мае працяглы вегетацыйны перыяд да 300 дзён у паўднёвай частцы штата.,[???] отримує в середньому 56 дюймів (1400 мм) опадів на рік і має тривалий вегетаційний період до 300 днів у південній частині штату.,[???] получает в среднем 56 дюймов (1400 мм) осадков в год и имеет длительный вегетационный период до 300 дней в южной части штата.,[???] получава средно 56 инча (1400 мм) валежи годишно и се радва на дълъг вегетационен период от до 300 дни в южната част на щата.,[???] prejme povprečno 56 palcev (1400 mm) padavin letno in uživa v dolgi rastni sezoni do 300 dni v južnem delu države.,[???] ročně spadne v průměru 56 palců (1400 mm) srážek a v jižní části státu má dlouhé vegetační období až 300 dní.,[???] receives an average of 56 inches ( 1400 mm ) of rainfall annually and enjoys a lengthy growing season of up to 300 days in the southern part of the state.
6,"[???] jest również podatny na burze tropikalne, a nawet huragany.",[???] таксама схільны трапічных штормаў і нават ураганаў.,[???] також схильний до тропічних штормів і навіть ураганів.,[???] также подвержен тропическим штормам и даже ураганам.,[???] също е предразположен към тропически бури и дори урагани.,[???] je tudi nagnjen k tropskim neurjem in celo orkanom.,[???] je také náchylný k tropickým bouřím a dokonce i hurikánům.,[???] is also prone to tropical storms and even hurricanes.
7,[???] zajmuje siódme miejsce pod względem liczby zgonów od piorunów i dziewiąte pod względem liczby zgonów od uderzenia pioruna na mieszkańca.,[???] займае сёмае месца па колькасці смерцяў ад маланкі і дзевятае па колькасці смерцяў ад удараў маланкі на душу насельніцтва.,[???] посідає сьоме місце за кількістю смертей від блискавки і дев'яте за кількістю смертей від ударів блискавки на душу населення.,[???] занимает седьмое место по количеству смертей от молнии и девятое место по количеству смертей от ударов молнии на душу населения.,[???] заема седмо място по брой смъртни случаи от мълния и девето по брой смъртни случаи от мълнии на глава от населението.,[???] je na sedmem mestu po številu umrlih zaradi strele in na devetem po številu umrlih zaradi udarov strele na prebivalca.,[???] je na sedmém místě v počtu úmrtí na blesk a na devátém místě v počtu úmrtí na úder blesku na obyvatele.,[???] ranks seventh in the number of deaths from lightning and ninth in the number of deaths from lightning strikes per capita.
8,"[???] jest jednym z nielicznych miejsc na świecie, w którym oprócz wiosennego sezonu srogiego pogody występuje wtórny sezon tornad (listopad i grudzień).","[???] з'яўляецца адным з нямногіх месцаў у свеце, дзе ёсць другасны сезон тарнада (лістапад і снежань) разам з сезонам вясновых сур'ёзных надвор'яў.","[???] — одне з небагатьох місць у світі, де є вторинний сезон торнадо (листопад і грудень) разом із сезоном суворої весняної погоди.","[???] — одно из немногих мест в мире, где есть вторичный сезон торнадо (ноябрь и декабрь) наряду с весенним сезоном суровой погоды.","[???] е едно от малкото места в света, където има вторичен сезон на торнадо (ноември и декември), заедно с пролетния сезон на тежките метеорологични условия.","[???] je eno redkih krajev na svetu, ki ima skupaj s spomladansko sezono hudega vremena sekundarno sezono tornada (november in december).","[???] je jedno z mála míst na světě, které má sekundární sezónu tornád (listopad a prosinec) spolu s jarní sezónou nepříznivého počasí.",[???] is one of the few places in the world that has a secondary tornado season ( November and December ) along with the spring severe weather season.
9,[???] jest częścią największego korytarza rozwoju przemysłowego w kraju.,[???] з'яўляецца часткай найбуйнейшага калідора прамысловага росту ў краіне.,[???] є частиною найбільшого коридору промислового зростання в країні.,[???] является частью крупнейшего коридора промышленного роста в стране.,[???] е част от най-големия коридор за индустриален растеж в страната.,[???] je del največjega koridorja industrijske rasti v državi.,[???] je součástí největšího koridoru průmyslového růstu v zemi.,[???] is part of the largest industrial growth corridor in the nation.
