,pl,be,uk,ru,bg,sl,cs,gender,en
0,Anthony Eden,Энтані Ідэн,Ентоні Іден,Энтони Иден,Антъни Идън,Anthony Eden,Anthony Eden,m,Anthony Eden
1,Filippo Inzaghi,Філіпа Індзагі,Філіппо Індзагі,Филиппо Индзаги,Филипо Индзаги,Filippo Inzaghi,Filippo Inzaghi,m,Filippo Inzaghi
2,Arthur Wellesley ,А. Велінгтан,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley,m,Arthur Wellesley
3,Abbas I Wielki,Абас I Вялікі,Аббас I Великий,Аббас I Великий,Абас I Велики,Abas I. Veliki,Abbás I. Veliký,m,Abbas the Great
4,Agapit I,Агапій I ,Агапіт I,Агапит I,Агапет I,Papež Agapit I,Agapetus I,m,Pope Agapetus I
5,John Adams,Джон Адамс,Джон Адамс,Джон Адамс,Джон Адамс,John Adams,John Adams,m,John Adams
6,John Quincy Adams,Джон Квінсі Адамс,Квінсі Джон,Джон Адамс,Джон Куинси Адамс,John Quincy Adams,John Quincy Adams,m,John Quincy Adams
7,José Leandro Andrade,Хасэ Леандра Андрадэ,Леандро Хосе,Хосе Андраде,Хосе Андраде,José Leandro Andrade,José Andrade,m,José Leandro Andrade
8,Thierry Henry,Цьеры Анры,Тьєррі Анрі,Тьерри Анри,Тиери Анри,Thierry Henry,Thierry Henry,m,Thierry Henry
9,Chester Arthur,Чэстэр Алан Артур,Алан Честер,Честер Артур,Честър Артър,Chester Alan Arthur,Chester A. Arthur,m,Chester A. Arthur
10,Klaus Augenthaler,Клаўс Аўгенталер,Клаус Аугенталер,Клаус Аугенталер,Клаус Аугенталер,Klaus Augenthaler,Klaus Augenthaler,m,Klaus Augenthaler
11,Uwe Bein,Увэ Байн,Уве Байн,Уве Байн,Уве Байн,Uwe Bein,Uwe Bein,m,Uwe Bein
12,Bonifacy II,Баніфацый II ,Боніфацій II,Бонифаций II,Бонифаций II,Bonifacij II,Bonifác II,m,Pope Boniface II
13,Andrea Barzagli,Андрэа Бардзальі,Андреа Барцальї,Андреа Бардзальи,Андреа Бардзали,Andrea Barzagli,Andrea Barzagli,m,Andrea Barzagli
14,Bebeto,Бебету,Бебето,Бебето,Бебето,Bebeto,Bebeto,m,Bebeto
15,Benedykt XVI,Бенедыкт XVI,Бенедикт XVI,Бенедикт XVI,Бенедикт XVI,Papež Benedikt XVI,Benedikt XVI,m,Pope Benedict XVI
16,Benedykt XV,Бенедыкт XV,Бенедикт XV,Бенедикт XV,Бенедикт XV,Papež Benedikt XV,Benedikt XV,m,Pope Benedict XV
17,Leonard Bernstein,Леанард Бернстайн,Леонард Бернстайн,Леонард Бернстайн,Ленард Бърнстейн,Leonard Bernstein,Leonard Bernstein,m,Leonard Bernstein
18,Tony Blair,Тоні Блэр,Тоні Блер,Тони Блэр,Тони Блеър,Tony Blair,Tony Blair,m,Tony Blair
19,Paul Breitner,Паўль Брайтнер,Пауль Брайтнер,Пауль Брайтнер,Паул Брайтнер,Paul Breitner,Paul Breitner,m,Paul Breitner
20,Gianluigi Buffon,Джанлуіджы Буфон,Джанлуїджі Буффон,Джанлуиджи Буффон,Джанлуиджи Буфон,Gianluigi Buffon,Gianluigi Buffon,m,Gianluigi Buffon
21,Guido Buchwald,Гвіда Бухвальд,Гвідо Бухвальд,Гвидо Бухвальд,Гуидо Бухвалд,Guido Buchwald,Guido Buchwald,m,Guido Buchwald
22,George H.W. Bush,Джордж Буш,Джордж Буш,Джордж Буш,Джордж Х. У. Буш,George H. W. Bush,George H. W. Bush,m,George H. W. Bush
23,Gordon Banks,Гордан Бэнкс,Гордон Бенкс,Гордон Бэнкс,Гордън Бенкс,Gordon Banks,Gordon Banks,m,Gordon Banks
24,James Buchanan,Джэймс Б’юкенен,Джеймс Б'юкенен,Джеймс Бьюкенен,Джеймс Бюканън,James Buchanan,James Buchanan,m,James Buchanan
25,Martin Van Buren,Марцін Ван Бюрэн,Мартін ван Бюрен,Мартин Ван Бюрен,Мартин Ван Бюрън,Martin Van Buren,Martin Van Buren,m,Martin Van Buren
26,Carlos Bilardo,Карлас Біларда,Карлос Білардо,Карлос Билардо,Карлос Билардо,Carlos Bilardo,Carlos Bilardo,m,Carlos Bilardo
27,George Washington,Джордж Вашынгтон,Джордж Вашингтон,Джордж Вашингтон,Джордж Вашингтон,George Washington,George Washington,m,George Washington
28,Jules Verne,Жуль Верн,Жуль Верн,Жюль Верн,Жул Верн,Jules Verne,Jules Verne,m,Jules Verne
29,Wen Jiabao,Вэнь Цзябаа,Вень Цзябао,Вэнь Цзябао,Уън Дзябао,Ven Džjabao,Wen Ťia-pao,m,Wen Jiabao
30,Wigiliusz ,Вігілій ,Вігілій,Вигилий ,Вигилий,Papež Vigilij,Vigilius,m,Pope Vigilius
31,Patrick Vieira,Патрык Віейра,Патрік Вієйра,Патрик Виейра,Патрик Виейра,Patrick Vieira,Patrick Vieira,m,Patrick Vieira
32,Woodrow Wilson,Томас Вудра Вільсан,Вудро Вільсон,Вудро Вильсон,Удроу Уилсън,Woodrow Wilson,Woodrow Wilson,m,Woodrow Wilson
33,Ludwig Wittgenstein,Людвіг Вітгенштэйн,Людвіг Вітгенштайн,Людвиг Витгенштейн,Лудвиг Витгенщайн,Ludwig Wittgenstein,Ludwig Wittgenstein,m,Ludwig Wittgenstein
34,Harold II,Гаральд II Годвінсан,Гарольд II Ґодвінсон,Гарольд II Годвинсон,Харолд Годуинсън,Harold II,Harold II. Godwinson,m,Harold Godwinson
35,Warren Harding,Уорэн Гардзінг,Воррен Гардінг,Уоррен Гардинг,Уорън Хардинг,Warren G. Harding,Warren G. Harding,m,Warren G. Harding
36,James Garfield,Джэймс Гарфілд,Джеймс Гарфілд,Джеймс Гарфилд,Джеймс Гарфийлд,James Garfield,James A. Garfield,m,James A. Garfield
37,Garrincha,Гарынча,Гаррінча,Гарринча,Гаринча,Garrincha,Garrincha,m,Garrincha
38,Benjamin Harrison,Бенджамін Гарысан,Бенджамін Гаррісон,Бенджамин Гаррисон,Бенджамин Харисън,Benjamin Harrison,Benjamin Harrison,m,Benjamin Harrison
39,William Henry Harrison,Уільям Генры Гарысан,Вільям Генрі Гаррісон,Уильям Гаррисон,Уилям Хенри Харисън,William Henry Harrison,William Henry Harrison,m,William Henry Harrison
40,Ulysses Grant,Уліс Сімсан Грант,Улісс Грант,Улисс Грант,Юлисис Грант,Ulysses S. Grant,Ulysses S. Grant,m,Ulysses S. Grant
41,Herbert Hoover,Герберт Кларк Гувер,Герберт Гувер,Герберт Гувер,Хърбърт Хувър,Herbert Hoover,Herbert Hoover,m,Herbert Hoover
42,Alcides Ghiggia,Альсідэс Гіджа,Альсідес Гіджа,Альсидес Гиджа,Алсидес Гиджа,Alcides Ghiggia,Alcides Ghiggia,m,Alcides Ghiggia
43,Lyndon B. Johnson,Ліндан Бэйнс Джонсан,Ліндон Джонсон,Линдон Джонсон,Линдън Джонсън,Lyndon B. Johnson,Lyndon B. Johnson,m,Lyndon B. Johnson
44,Andrew Johnson,Эндру Джонсан,Ендрю Джонсон,Эндрю Джонсон,Андрю Джонсън,Andrew Johnson,Andrew Johnson,m,Andrew Johnson
45,David Lloyd George,Дэвід Лойд Джордж,Девід Ллойд Джордж,Дэвид Ллойд Джордж,Дейвид Лойд Джордж,David Lloyd George,David Lloyd George,m,David Lloyd George
46,Alberto Gilardino,Альберта Джылардзіна,Альберто Джилардіно,Альберто Джилардино,Алберто Джилардино,Alberto Gilardino,Alberto Gilardino,m,Alberto Gilardino
47,Andrew Jackson,Эндру Джэксан,Ендрю Джексон,Эндрю Джексон,Андрю Джаксън,Andrew Jackson,Andrew Jackson,m,Andrew Jackson
48,Thomas Jefferson,Томас Джэферсан,Томас Джефферсон,Томас Джефферсон,Томас Джеферсън,Thomas Jefferson,Thomas Jefferson,m,Thomas Jefferson
49,Benjamin Disraeli,Дзісраэлі,Бенджамін Дізраелі,Бенджамин Дизраэли,Бенджамин Дизраели,Benjamin Disraeli,Benjamin Disraeli,m,Benjamin Disraeli
50,Douglas Adams,Дуглас Адамс,Дуглас Адамс,Дуглас Адамс,Дъглас Адамс,Douglas Adams,Douglas Adams,m,Douglas Adams
51,Dunga,Дунга,Дунга,Дунга,Дунга,Dunga,Dunga,m,Dunga
52,Daniele De Rossi,Дэ Росі Даніэле,Данієле Де Россі,Даниеле Де Росси,Даниеле Де Роси,Daniele De Rossi,Daniele De Rossi,m,Daniele De Rossi
53,Alessandro Del Piero,Алесандра Дэль П’ера,Алессандро Дель П'єро,Алессандро Дель Пьеро,Алесандро Дел Пиеро,Alessandro Del Piero,Alessandro Del Piero,m,Alessandro Del Piero
54,Jorginho ,Жаржынью,Жоржиньйо ,Жоржиньо,Жоржиньо,Jorginho,Jorginho ,m,Jorginho
55,Jairzinho,Жайрзінью,Жаїрзінью,Жаирзиньо,Жаирзиньо,Jairzinho,Jairzinho,m,Jairzinho
56,Juninho Paulista,Жунінью Паўліста,Жуніньйо Пауліста,Жуниньо Паулиста,Жуниньо Паулища,Juninho Paulista,Juninho Paulista,m,Juninho Paulista
57,Zinédine Zidane,Зінедзін Зідан,Зінедін Зідан,Зинедин Зидан,Зинедин Зидан,Zinedine Zidane,Zinédine Zidane,m,Zinedine Zidane
58,Zinho,Зінью,Зіньйо,Зиньо,Зиньо,Zinho,Zinho,m,Zinho
59,Kaká,Кака,Кака,Кака,Кака ,Kaká,Kaká,m,Kaka
60,Mauro Camoranesi,Маўра Камаранезі,Мауро Каморанезі,Мауро Каморанези,Мауро Каморанези,Mauro Camoranesi,Mauro Camoranesi,m,Mauro Camoranesi
61,Konfucjusz,Канфуцый,Конфуцій,Конфуций,Конфуций,Konfucij,Konfucius,m,Confucius
62,Jimmy Carter,Джэймс Эрл Картэр,Джиммі Картер,Джимми Картер,Джими Картър,Jimmy Carter,Jimmy Carter,m,Jimmy Carter
63,Héctor Castro,Эктар Кастра,Ектор Кастро,Эктор Кастро,Ектор Кастро,Héctor Castro,Héctor Castro,m,Héctor Castro
64,Cafu,Кафу,Кафу,Кафу,Кафу ,Cafu,Cafu,m,Cafú
65,John Kennedy,Джон Кенэдзі,Джон Кеннеді,Джон Кеннеди,Джон Кенеди,John Kennedy,John Kennedy,m,John F. Kennedy
66,Klemens III ,Клімент III ,Климент III ,Климент III ,Климент III ,Protipapež Klemen III,Klement III,m,Pope Clement III
67,Jürgen Klinsmann,Юрген Клінсман,Юрген Клінсманн,Юрген Клинсман,Юрген Клинсман,Jürgen Klinsmann,Jürgen Klinsmann,m,Jürgen Klinsmann
68,Bill Clinton,Біл Клінтан,Білл Клінтон,Билл Клинтон,Бил Клинтън,Bill Clinton,Bill Clinton,m,Bill Clinton
69,Grover Cleveland,Стывен Гровер Кліўленд,Гровер Клівленд,Гровер Кливленд,Гроувър Кливланд,Grover Cleveland,Grover Cleveland,m,Grover Cleveland
70,Jürgen Kohler,Юрген Колер,Юрген Колер,Юрген Колер,Юрген Колер,Jürgen Kohler,Jürgen Kohler,m,Jürgen Kohler
71,Izaak I Komnen,Ісаак I Камнін,Ісаак I Комнін,Исаак I Комнин,Исак I Комнин,Izak I. Komnen,Izák I. Komnenos,m,Isaac I Komnenos
72,Aleksy I Komnen,Аляксей I Камнін,Олексій I Комнін,Алексей I Комнин,Алексий I Комнин,Aleksej I. Komnen,Alexios I. Komnenos,m,Alexios I Komnenos
73,Anna Komnena,Ганна Камніна,Анна Комніна,Анна Комнина,Анна Комнина,Ana Komnena,Anna Komnenovna,f,Anna Komnene
74,Calvin Coolidge,Кальвін Кулідж,Калвін Кулідж,Калвин Кулидж,Калвин Кулидж,Calvin Coolidge,Calvin Coolidge,m,Calvin Coolidge
75,Wawrzyniec ,Лаўрэнцій ,Лаврентій ,Лаврентий ,Лаврентий ,Protipapež Lovrenc,Laurentius,m,Laurentius
76,Leonardo Nascimento de Araújo,Леанарду Араужу,Леонардо Араужо,Леонардо Араужо,Леонардо Араужо,Leonardo Araújo,Leonardo Nascimento de Araújo,m,Leonardo Araújo
77,Leon XIII,Леў XIII,Лев XIII,Лев XIII,Лъв XIII,Papež Leon XIII,Lev XIII,m,Pope Leo XIII
78,Luiz Carlos Bombonato Goulart,Луіс Карлус Бамбанату Голарт,Луїс Карлос Бомбонато Гоуларт,Луис Бомбонато Гоуларт,Луизао,Luizão,Luiz Carlos Bombonato Goulart,m,Luizão
79,Bixente Lizarazu,Біксант Лізаразю,Біксант Лізаразю,Биксант Лизаразю,Бишенте Лизаразу,Bixente Lizarazu,Bixente Lizarazu,m,Bixente Lizarazu
