,ru,be,bg,pl,sl,cs,uk
0,Камерун,Камерун,Камерун,Kamerun,Kamerun,Kamerun,Камерун
1,Гренада,Грэнада,Гренада,Grenada,Grenada,Grenada,Гренада
2,Сирия,Сірыя,Сирия,Syria,Sirija,Sýrie,Сирія
3,Ниуэ,Ніуэ,Ниуе,Niue,Niue,Niue,Ніуе
4,Сан-Паулу,Сан-Паўлу,Сао Пауло,São Paulo,São Paulo,São Paulo,Сан-Паулу
5,Мальтийский орден,Мальтыйскі Ордэн,Суверенен Малтийски орден,Zakon Maltański,Suvereni malteški viteški red,Suverénní řád Maltézských rytířů,Мальтійський орден
6,Лондон,Лондан,Лондон,Londyn,London,Londýn,Лондон
7,Сеул,Сеул,Сеул,Seul,Seul,Soul,Сеул
8,Бутан,Бутан,Бутан,Bhutan,Butan ,Bhútán,Бутан
9,Монтсеррат,Мантсерат,Монсерат,Montserrat,Monserat,Montserrat ,Монтсеррат
10,Пакистан,Пакістан,Пакистан,Pakistan,Pakistan,Pákistán,Пакистан
11,Аделаида,Адэлаіда,Аделейд,Adelaide,Adelaide,Adelaide,Аделаїда
12,Эритрея,Эрытрэя,Еритрея,Erytrea,Eritreja,Eritrea,Еритрея
13,Никарагуа,Нікарагуа,Никарагуа,Nikaragua,Nikaragva,Nikaragua,Нікарагуа
14,Малави,Малаві,Малави,Malawi,Malavi,Malawi,Малаві
15,Нижний Новгород,Ніжні Ноўгарад,Нижни Новгород,Niżny Nowogród,Nižni Novgorod,Nižnij Novgorod,Нижній Новгород
16,Днепр,Дніпро,Днипро,Dniepr ,Dnipro,Dnipro,Дніпро 
17,Гернси,Гернсі,Гърнзи,Guernsey,Guernsey,Guernsey,Гернсі
18,Киото,Кіёта,Киото,Kioto,Kjoto,Kjóto,Кіото
19,Сан-Томе и Принсипи,Сан-Тамэ і Прынсіпі,Сао Томе и Принсипи,Wyspy Świętego Tomasza i Książęca,Sveti Tomaž in Princ,Svatý Tomáš a Princův ostrov,Сан-Томе і Принсіпі
20,Нанкин,Нанкін,Нанкин,Nankin,Nandžing,Nanking,Нанкін
21,Арекипа,Арэкіпа ,Арекипа,Arequipa,Arequipa,Arequipa,Арекіпа
22,Торонто,Таронта,Торонто,Toronto,Toronto,Toronto,Торонто
23,Красноярск,Краснаярск,Красноярск,Krasnojarsk,Krasnojarsk,Krasnojarsk,Красноярськ
24,Новая Каледония,Новая Каледонія,Нова Каледония,Nowa Kaledonia,Nova Kaledonija,Nová Kaledonie,Нова Каледонія
25,Танжер,Танжэр,Танжер,Tanger,Tanger,Tanger,Танжер
26,Катар,Катар,Катар,Katar,Katar,Katar,Катар
27,Мозамбик,Мазамбік,Мозамбик,Mozambik,Mozambik,Mosambik,Мозамбік
