,en,ru,pl,be,uk,bg,sl,cs
0, [???] is often cited as an example of anarchism in practice.,[n] часто приводится как пример анархизма на практике.,[n] jest często cytowane jako przykład anarchizmu w praktyce.,"""[n]"" часта прыводзіцца ў якасці прыкладу анархізму на практыцы.",[n] часто наводять як приклад анархізму на практиці.,[n] често се цитира като пример за анархизъм на практика.,[f] se pogosto navaja kot primer anarhizma v praksi.,[f] je často uváděna jako příklad anarchismu v praxi.
1, Studies by the [???] have investigated the relative ( generally warming) effect of albedo change and ( cooling) effect of carbon sequestration on planting forests., В исследованиях [m] изучал относительное (обычно согревающее) влияние изменения альбедо и (охлаждающее) влияние секвестрации углерода на посадку леса., Badania przeprowadzone przez [m] badały względny (ogólnie ocieplający) wpływ zmiany albedo i (chłodzący) wpływ sekwestracji węgla na sadzenie lasów.," Даследаванні ""[m]"" даследавалі адносны (у цэлым пацяпленне) эфект змены альбеда і (ахалоджвання) эфект секвестрацыі вугляроду на пасадкі лясоў."," Дослідження ""[n]"" досліджували відносний (загальний потепління) ефект зміни альбедо та (охолодження) ефекту секвестрації вуглецю на посадку лісів."," Проучванията на ""[m]"" са изследвали относителния (общо затоплящ) ефект на промяната на албедото и (охлаждащ) ефект на улавянето на въглерод върху засаждането на гори."," Študije ""[n]"" so raziskale relativni (na splošno segrevalni) učinek spremembe albeda in (hladilni) učinek sekvestracije ogljika na sajenje gozdov."," Studie ""[n]"" zkoumaly relativní (obecně oteplovací) účinek změny albeda a (ochlazující) účinek sekvestrace uhlíku na výsadbu lesů."
2, [???] are still the majority party in both houses of the legislature., [pl] по-прежнему являются партией большинства в обеих палатах законодательного собрания., [pl] są nadal partią większościową w obu izbach ustawodawczych., [pl] па-ранейшаму з'яўляюцца партыяй большасці ў абедзвюх палатах заканадаўчага органа., [pl] все ще є партією більшості в обох палатах законодавчого органу., [pl] все още са мнозинството в двете камари на законодателния орган., [pl] so še vedno večinska stranka v obeh domovih zakonodajnega organa., [pl] jsou stále většinovou stranou v obou komorách zákonodárného sboru.
3, [???] has a large presence in the area., [n] широко представлено в этом районе., [n] ma dużą obecność w okolicy.," ""[n]"" мае вялікую прысутнасць у гэтым раёне.", [n] має велику присутність у цьому районі., [n] има голямо присъствие в района., [f] je na tem območju zelo prisotna., [f] má v oblasti velké zastoupení.
4," Eight days later, the [???] convenes once more.", Через восемь дней [m] снова собирается., Osiem dni później [m] zbiera się ponownie., Праз восем дзён [m] збіраецца яшчэ раз., Через вісім днів [m] збирається знову., Осем дни по-късно [m] се събира отново., Osem dni pozneje se [m] ponovno sestane., O osm dní později se [m] schází znovu.
5, The General [???] is also responsible for proposing and passing laws., Генеральный [m] также отвечает за предложение и принятие законов., Generalny [m] jest również odpowiedzialny za proponowanie i uchwalanie ustaw., Генеральны [m] таксама адказвае за прапановы і прыняцце законаў., Генеральний [m] також відповідає за пропозицію та ухвалення законів., Общият [m] също отговаря за предлагането и приемането на закони., Generalni [m] je pristojen tudi za predlaganje in sprejemanje zakonov., Generální [m] je také zodpovědný za navrhování a přijímání zákonů.
6, The [???] hears civil appeals and may in its discretion hear criminal appeals., [n] рассматривает гражданские апелляции и может по своему усмотрению рассматривать уголовные апелляции., [n] rozpatruje apelacje cywilne i może według własnego uznania rozpatrywać apelacje karne., [pl] разглядае грамадзянскія скаргі і можа па сваім меркаванні разглядаць крымінальныя скаргі., [n] розглядає цивільні скарги і на свій розсуд може розглядати кримінальні скарги., [n] разглежда граждански жалби и може по свое усмотрение да разглежда наказателни жалби., [n] obravnava civilne pritožbe in lahko po lastni presoji obravnava kazenske pritožbe., [f] projednává občanskoprávní odvolání a může podle svého uvážení projednávat trestní odvolání.
7," The [???] is currently the state 's only professional opera company, though there are several volunteer and semi-professional organizations in the state as well."," [pl] в настоящее время являются единственной профессиональной оперной труппой в штате, хотя в штате также есть несколько волонтерских и полупрофессиональных организаций."," [pl] są obecnie jedyną profesjonalną firmą operową w stanie, chociaż istnieje również kilka organizacji ochotniczych i półprofesjonalnych w stanie."," У цяперашні час [pl] з'яўляюцца адзінай прафесійнай опернай трупай у штаце, хоць у штаце таксама існуе некалькі валанцёрскіх і паўпрафесійных арганізацый."," Наразі [pl] є єдиною професійною оперною трупою штату, хоча в штаті також є кілька волонтерських та напівпрофесійних організацій."," [pl] в момента са единствената професионална оперна трупа в държавата, въпреки че в щата също има няколко доброволчески и полупрофесионални организации."," [pl] so trenutno edina profesionalna operna družba v državi, čeprav je tudi v državi več prostovoljnih in polprofesionalnih organizacij."," Společnosti jsou v současnosti jedinou profesionální operní společností ve státě, i když ve státě existuje také několik dobrovolníků a poloprofesionálních organizací."
8," [???] accredits standards that are developed by representatives of standards developing organizations, government agencies, consumer groups, companies, and others."," [pl] аккредитуют стандарты, разработанные представителями организаций по разработке стандартов, государственных учреждений, групп потребителей, компаний и других."," [pl] akredytuje normy opracowane przez przedstawicieli organizacji opracowujących normy, agencji rządowych, grup konsumenckich, firm i innych."," [pl] акрэдытуе стандарты, якія распрацоўваюцца прадстаўнікамі арганізацый, якія распрацоўваюць стандарты, дзяржаўных устаноў, груп спажыўцоў, кампаній і інш."," [pl] акредитує стандарти, які розробляються представниками організацій, що розробляють стандарти, державних установ, груп споживачів, компаній тощо."," [pl] акредитира стандарти, които са разработени от представители на организации, разработващи стандарти, правителствени агенции, потребителски групи, компании и други."," [pl] akreditira standarde, ki jih razvijajo predstavniki organizacij za razvijanje standardov, vladnih agencij, skupin potrošnikov, podjetij in drugih."," [pl] akredituje normy, které jsou vyvinuty zástupci organizací vyvíjejících normy, vládními agenturami, spotřebitelskými skupinami, společnostmi a dalšími."
9, [???] estimates that more than 80 percent of females and around 50 percent of males lack access to education centers.," По оценкам [n], более 80 процентов женщин и около 50 процентов мужчин не имеют доступа к образовательным центрам."," [n] szacuje, że ponad 80 procent kobiet i około 50 procent mężczyzn nie ma dostępu do ośrodków edukacyjnych."," Паводле ацэнак ""[n]"", больш за 80 працэнтаў жанчын і каля 50 працэнтаў мужчын не маюць доступу да адукацыйных цэнтраў."," За оцінками [pl], понад 80 відсотків жінок і близько 50 відсотків чоловіків не мають доступу до освітніх центрів."," [n] изчислява, че повече от 80 процента от жените и около 50 процента от мъжете нямат достъп до образователни центрове."," [f] ocenjuje, da več kot 80 odstotkov žensk in okoli 50 odstotkov moških nima dostopa do izobraževalnih centrov."," [f] odhaduje, že více než 80 procent žen a přibližně 50 procent mužů nemá přístup do vzdělávacích center."
