
Она	O
открывалась	O
вводной	O
статьей	O
П.	B-PER
М.	I-PER
Машерова	I-PER
«Народный	O
герой»	O
.	O
	
Сериал	O
рассказывает	O
о	O
Уитни	B-PER
Каммингс	I-PER
из	O
Чикаго	B-LOC
,	O
изображающую	O
беллетризованную	O
версию	O
себя	O
,	O
и	O
её	O
очень	O
поддерживающим	O
сожителе	O
.	O
	
Еще	O
при	O
жизни	O
В.	B-PER
начал	O
активную	O
деятельность	O
по	O
развитию	O
и	O
руководству	O
биогеоценологических	O
исследований	O
в	O
нашей	O
стране	O
.	O
	
Для	O
переработки	O
молочных	O
продуктов	O
,	O
получаемых	O
от	O
содержавшихся	O
в	O
имении	O
200	O
коров	O
,	O
улучшенных	O
северных	O
пород	O
,	O
была	O
устроена	O
сыроварня	O
,	O
вверенная	O
приглашённому	O
из	O
Швейцарии	B-LOC
специалисту	O
.	O
	
Компьютерная	O
томография	O
—	O
метод	O
выбора	O
в	O
диагностике	O
внутричерепных	O
кровоизлияний	O
.	O
	
Кроме	O
того	O
,	O
на	O
корабле	O
имелся	O
офицер	O
медицинской	O
службы	O
(	O
)	O
или	O
специалист	O
по	O
снабжению	O
(	O
)	O
.	O
	
Приведён	O
на	O
буксире	O
в	O
Италию	B-LOC
и	O
ремонтировался	O
в	O
Специи	B-LOC
.	O
	
Встречается	O
примерно	O
в	O
одном	O
случае	O
на	O
200	O
000	O
родившихся	O
;	O
наиболее	O
часто	O
—	O
в	O
Бретани	B-LOC
и	O
Франции	B-LOC
,	O
где	O
достигает	O
частоты	O
около	O
1:26	O
000	O
.	O
	
Принимал	O
участие	O
в	O
боях	O
на	O
Юго-Западном	B-LOC
,	O
Брянском	B-LOC
и	O
Воронежском	B-LOC
фронтах	O
.	O
	
'	O
''	O
Доли́нный	B-LOC
''	O
'	O
—	O
посёлок	O
в	O
Энгельсском	B-LOC
районе	I-LOC
Саратовской	I-LOC
области	I-LOC
России	I-LOC
.	O
	
Ещё	O
за	O
годы	O
обучения	O
,	O
как	O
солистка	O
ансамблей	O
«Криниця»	B-ORG
и	O
«Еxcelsior»	B-ORG
,	O
гастролировала	O
по	O
Австрии	B-LOC
,	O
Германии	B-LOC
,	O
Канаде	B-LOC
.	O
	
Она	O
описала	O
жанр	O
группы	O
так	O
``	O
будто	O
Игги	B-PER
Поп	I-PER
и	O
The	B-ORG
Stooges	I-ORG
встретили	O
The	B-ORG
Clash	I-ORG
.	O
	
Наиболее	O
известен	O
по	O
выступлениям	O
за	O
английский	O
клуб	O
Саутгемптон	B-ORG
,	O
в	O
котором	O
приобрёл	O
славу	O
одного	O
из	O
лучших	O
британских	O
нападающих	O
.	O
	
Забил	O
свыше	O
250	O
голов	O
в	O
Футбольной	B-ORG
лиге	I-ORG
,	O
дважды	O
становился	O
лучшим	O
бомбардиром	O
Первого	B-ORG
дивизиона	I-ORG
.	O
	
«Юнайтед»	B-ORG
быстро	O
повёл	O
в	O
счёте	O
благодаря	O
голу	O
Вилли	B-PER
Моргана	I-PER
.	O
	
Представляет	O
собой	O
вдающуюся	O
на	O
несколько	O
сотен	O
метров	O
в	O
воды	O
Татарского	B-LOC
пролива	I-LOC
скалу	O
высотой	O
до	O
171,7	O
метров	O
.	O
	
Оригинальные	O
модели	O
''Ripper	O
''	O
сейчас	O
очень	O
редкие	O
и	O
достаточно	O
дорогие	O
в	O
последнее	O
время	O
,	O
однако	O
их	O
дешёвые	O
копии	O
какое-то	O
время	O
находились	O
в	O
производстве	O
у	O
Epiphone	B-ORG
.	O
	
Наиболее	O
известными	O
воспитанниками	O
клуба	O
являются	O
Юрген	B-PER
Шпарвассер	I-PER
и	O
Нильс	B-PER
Петерсен	I-PER
.	O
	
Жамойтские	O
крестьяне	O
в	O
XIII—XVI	O
веках	O
назывались	O
«лавкининки»	O
,	O
«койминцы»	O
или	O
«велдамы»	O
.	O
	
Улашчык	B-PER
М	I-PER
.	I-PER
''	O
Валочная	O
памера	O
	
Вместе	O
с	O
тем	O
североирландский	O
специалист	O
отмечал	O
,	O
что	O
его	O
подопечным	O
«под	O
силу	O
побороться	O
за	O
трофей	O
при	O
должном	O
настрое	O
на	O
игру»	O
.	O
	
После	O
матча	O
главный	O
тренер	O
«Селтика»	B-ORG
Нил	I-PER
Леннон	I-PER
раскритиковал	O
судью	O
за	O
подобное	O
решение	O
.	O
	
Лучшим	O
игроком	O
финального	O
поединка	O
был	O
признан	O
голкипер	O
«Килмарнока»	B-ORG
Камми	I-PER
Белл	I-PER
.	O
	
Участвовал	O
в	O
научных	O
конференциях	O
в	O
США	B-LOC
,	O
Австрии	B-LOC
,	O
Южной	B-LOC
Корее	I-LOC
,	O
Венгрии	B-LOC
и	O
т.	O
д.	O
	
Прошёл	O
научную	O
стажировку	O
в	O
г	O
.	O
	
С	O
20.10.1937	O
г.	O
по	O
22.05.1938	O
г.	O
был	O
начальником	O
УНКВД	B-ORG
Смоленской	I-LOC
области	I-LOC
,	O
с	O
22.05.1938	O
г.	O
по	O
17.12.1938	O
г	O
.	O
	
Зелёный	O
цвет	O
символизирует	O
надежду	O
,	O
природу	O
,	O
жизнь	O
,	O
здоровье	O
.	O
	
стал	O
первым	O
представителем	O
рода	O
,	O
найденным	O
в	O
фауне	O
России	B-LOC
.	O
	
Во	O
время	O
записи	O
группа	O
вдохновлялась	O
творчеством	O
таких	O
исполнителей	O
,	O
как	O
The	B-ORG
Clash	I-ORG
и	O
The	B-ORG
Cramps	I-ORG
.	O
	
Это	O
намерение	O
приводит	O
его	O
в	O
Небраску	B-LOC
,	O
на	O
один	O
из	O
участков	O
строительства	O
трансконтинентальной	O
железной	O
дороги	O
.	O
	
'	O
''	O
«Газпромнефть-Хантос»	B-ORG
''	O
'	O
—	O
одно	O
из	O
крупнейших	O
дочерних	O
предприятий	O
компании	O
Газпром	B-ORG
нефть	I-ORG
.	O
	
По	O
собственному	O
признанию	O
,	O
на	O
него	O
оказала	O
влияние	O
поэзия	O
,	O
в	O
частности	O
стихи	O
Каммингса	B-PER
и	O
Стернза	B-PER
.	O
	
После	O
окончания	O
школы	O
поступила	O
в	O
Московский	B-ORG
архитектурный	I-ORG
институт	I-ORG
,	O
который	O
не	O
закончила	O
—	O
ушла	O
с	O
первого	O
курса	O
.	O
	
В	O
1995—1996	O
училась	O
в	O
Хэдингтон	B-ORG
школе	I-ORG
(	O
Оксфорд	B-LOC
,	O
Великобритания	B-LOC
)	O
.	O
	
Песня	O
была	O
использована	O
в	O
одном	O
из	O
эпизодов	O
шоу	O
MTV	B-ORG
Дикари	O
.	O
	
Посёлок	O
расположен	O
на	O
востоке	O
Малодербетовского	B-LOC
района	I-LOC
у	O
границы	O
с	O
Астраханской	B-LOC
областью	I-LOC
.	O
	
«Двое	O
в	O
степи»	O
(	O
Э.	B-PER
Казакевич	I-PER
)	O
—	O
''Огарков	O
''	O
«Притворщики»	O
(	O
Э.	B-PER
Брагинский	I-PER
,	O
Э.	B-PER
Рязанов	I-PER
)	O
—	O
''Тюрин	O
''	O
	
После	O
окончания	O
учёбы	O
открыл	O
адвокатскую	O
контору	O
в	O
Тель-Авиве	B-LOC
,	O
позже	O
—	O
в	O
городе	O
Ор-Йехуда	B-LOC
.	O
	
До	O
постройки	O
Суэцкого	B-LOC
канала	I-LOC
это	O
были	O
Египет	B-LOC
и	O
Левант	B-LOC
,	O
затем	O
на	O
первый	O
план	O
вышли	O
связи	O
с	O
Азией	B-LOC
,	O
прежде	O
всего	O
с	O
Индией	B-LOC
,	O
и	O
Дальним	B-LOC
востоком	I-LOC
.	O
	
Во	O
время	O
русско-турецкой	O
войны	O
1877—1878	O
года	O
находился	O
в	O
составе	O
войск	O
,	O
назначенных	O
на	O
охрану	O
побережья	O
Чёрного	B-LOC
моря	I-LOC
.	O
	
После	O
,	O
по	O
примеру	O
Санкт-Петербургского	B-LOC
Обводного	I-LOC
канала	I-LOC
,	O
получил	O
современное	O
название	O
.	O
	
Есть	O
возможность	O
играть	O
по	O
сети	O
между	O
этими	O
двумя	O
операционными	O
системами	O
через	O
GameSpy	B-ORG
.	O
	
Написал	O
очерки	O
об	O
Алие	B-PER
Молдагуловой	I-PER
,	O
Ибраиме	B-PER
Сулейменове	I-PER
,	O
Бексултане	B-PER
Рахметове	I-PER
.	O
	
Он	O
берет	O
одну	O
из	O
них	O
и	O
отправляет	O
Одиноким	B-ORG
стрелкам	I-ORG
.	O
	
Бойня	O
в	O
техасском	B-ORG
университете	I-ORG
в	O
1966	O
году	O
дала	O
толчок	O
к	O
созданию	O
кульминации	O
,	O
которая	O
частично	O
была	O
отснята	O
в	O
Университете	B-ORG
Британской	I-ORG
Колумбии	I-ORG
.	O
	
Выдвинулся	O
благодаря	O
женитьбе	O
на	O
дочери	O
пастора	O
Глюка	B-PER
,	O
в	O
доме	O
которого	O
воспитывалась	O
Екатерина	B-PER
I	I-PER
.	O
	
Находится	O
к	O
северу	O
от	O
Куинси	B-LOC
и	O
считается	O
одним	O
из	O
его	O
крупнейших	O
пригородов	O
.	O
	
Состоял	O
в	O
резерве	O
чинов	O
при	O
штабе	O
Петроградского	B-LOC
военного	I-LOC
округа	I-LOC
.	O
	
Подобная	O
конструкция	O
в	O
виде	O
экспериментального	O
образца	O
значительно	O
позже	O
была	O
создана	O
в	O
Канаде	B-LOC
.	O
	
Он	O
пробовал	O
себя	O
в	O
режиссуре	O
,	O
сняв	O
несколько	O
фильмов	O
и	O
,	O
в	O
частности	O
,	O
пару	O
эпизодов	O
сериала	O
Закон	O
и	O
порядок	O
:	O
Специальный	O
корпус	O
.	O
	
В	O
начале	O
80-х	O
он	O
начинает	O
работать	O
корреспондентом	O
в	O
газете	O
Грозненский	B-ORG
рабочий	I-ORG
.	O
	
'	O
''	O
Серебряный	B-LOC
''	O
'	O
—	O
посёлок	O
в	O
Кораблинском	B-LOC
районе	I-LOC
Рязанской	I-LOC
области	I-LOC
.	O
	
Н.	B-PER
Богословского	I-PER
)	O
,	O
исполненных	O
в	O
фильме	O
М.	B-PER
